year,species,count,supercolony
1912,wost,8000,1
1913,wost,5000,1
1924,wost,230,0
1927,wost,300,0
1931,whib,50000,1
1931,wost,0,0
1932,whib,13750,0
1932,wost,0,0
1933,whib,87500,1
1933,wost,3000,1
1934,whib,100200,1
1934,wost,4000,1
1935,whib,210750,1
1935,wost,2000,1
1936,whib,7500,0
1936,wost,2000,1
1937,whib,11250,0
1937,wost,1500,1
1938,whib,0,0
1938,wost,100,0
1940,whib,45500,1
1940,wost,0,0
1941,whib,34500,1
1941,wost,0,0
1942,whib,5000,0
1942,wost,3250,1
1943,wost,300,0
1944,wost,1750,1
1946,wost,12500,1
1950,wost,3525,1
1952,whib,2000,0
1952,wost,250,0
1957,wost,1040,0
1958,wost,1640,1
1959,whib,5000,0
1959,wost,1450,0
1960,wost,1900,1
1961,wost,3100,1
1962,wost,150,0
1963,wost,1600,1
1964,wost,1500,1
1965,wost,1650,1
1967,whib,5000,0
1967,wost,2125,1
1968,wost,1027,0
1969,whib,6750,0
1969,wost,278,0
1970,wost,169,0
1971,wost,458,0
1972,whib,23800,1
1972,wost,333,0
1973,whib,17035,1
1973,wost,888,0
1974,whib,9150,0
1974,wost,950,0
1975,whib,11992,0
1975,wost,1335,0
1976,whib,15900,0
1976,wost,1310,0
1977,whib,9800,0
1977,wost,715,0
1978,whib,650,0
1978,wost,19,0
1979,whib,300,0
1979,wost,1350,0
1980,wost,81,0
1981,whib,2465,0
1981,wost,297,0
1982,whib,6688,0
1982,wost,1219,0
1984,wost,650,0
1985,whib,1500,0
1985,wost,125,0
1986,whib,2785,0
1986,wost,275,0
1987,whib,5430,0
1987,wost,100,0
1988,whib,10882,0
1988,wost,220,0
1989,whib,1635,0
1989,wost,510,0
1990,whib,4900,0
1990,wost,173,0
1991,whib,1600,0
1991,wost,150,0
1992,whib,16461,0
1992,wost,567,0
1993,whib,3067,0
1993,wost,270,0
1994,whib,1889,0
1994,wost,230,0
1995,whib,3279,0
1995,wost,113,0
1996,whib,2096,0
1996,wost,800,0
1997,whib,3376,0
1997,wost,344,0
1998,whib,1658,0
1998,wost,25,0
1999,whib,10409,0
1999,wost,535,0
2000,whib,22577,1
2000,wost,2092,1
2001,whib,17262,1
2001,wost,2051,1
