"site","year","sample_id","real_nest","field_nest_id","species","lat","long"
"Jerrod",2021,41,"no",NA,"greg",26.0033091261867,-80.5968699173589
"Jerrod",2021,42,"yes",87,"greg",26.003365,-80.5968129
"Jerrod",2021,43,"no",NA,"rosp",26.0036000235016,-80.596924331298
"Jerrod",2021,44,"yes",103,"greg",26.0039448,-80.5967794
"Jerrod",2021,45,"yes",185,"greg",26.0037907,-80.5970397
"Jerrod",2021,46,"yes",178,"greg",26.0033384,-80.596859
"Jerrod",2021,47,"no",NA,"gbhe",26.0040887020925,-80.5968616701733
"Jerrod",2021,48,"yes",176,"gbhe",26.0034595,-80.5969665
"Jerrod",2021,49,"no",NA,"greg",26.0044959062476,-80.5969528379739
"Jerrod",2021,50,"no",NA,"gbhe",26.0040594565716,-80.5969014756957
