"year","colony","species","incubation_k","incubation_sumy","incubation_e","incubation_p","incubation_j","incubation_pj","incubation_varp","incubation_varpj","incubation_sdp","incubation_sdpj","nestling_k","nestling_sumy","nestling_e","nestling_p","nestling_j","nestling_pj","nestling_varp","nestling_varpj","nestling_sdp","nestling_sdpj","overall_p","overall_varp","overall_sd"
2003,"alley_north","greg",44,9,585.5,0.940222032,,0.27405574,9.59941e-05,0.003596667,,0.059972218,5,8,171,0.976608187,,0.717934875,0.000133594,0.014150559,,0.11895612,0.196754173,0.002916631,0.054005846
2003,"alley_north","whib",50,12,527.5,0.927962085,,0.208034266,0.000126727,0.002808774,,0.052997867,10,16,151.5,0.98679868,,0.830232705,8.59871e-05,0.011929766,,0.109223467,0.172716852,0.002452349,0.049521197
2003,"hidden","greg",33,27,802.5,0.992523364,,0.85419204,9.24702e-06,0.003020439,,0.05495852,17,29,491,0.979633401,,0.749704607,4.0635e-05,0.004664551,,0.06829752,0.640391708,0.005101121,0.071422131
2003,"mud_east","greg",34,26,827,0.990326481,,0.815354057,1.1584e-05,0.003462834,,0.058845847,20,34,494,0.987854251,,0.842752837,2.42879e-05,0.003464663,,0.058861388,0.687141944,0.004762732,0.069012551
2004,"alley_north","greg",65,54,1152.5,0.990455531,28,0.76450352,8.20249e-06,0.003831342,0.002863999,0.061897832,81,74,1615.5,0.995666976,21,0.912843149,2.67053e-06,0.000989922,0.001634177,0.031463024,0.697871801,0.003774958,0.06144069
2004,"alley_north","smhe",26,12,363.5,0.961485557,22,0.421444924,0.000101874,0.009473347,0.010093249,0.097331122,,,,,,,,,,,0.040770173,0.003275985,0.05723622
2004,"alley_north","smwh",,,,,,,,,,,3,0,28.5,0.894736842,21,0.09673903,0.003304661,0.017036417,0.057486177,0.130523626,,,
2004,"alley_north","whib",90,58,964.5,0.966822188,21,0.492355483,3.32577e-05,0.003803602,0.005766948,0.061673348,66,65,710,0.998591549,14,0.980461197,1.98094e-06,0.000374294,0.001407458,0.019346667,0.482735446,0.003748576,0.061225615
2004,"false_l67","greg",24,18,450.5,0.986681465,28,0.686997505,2.91701e-05,0.011086924,0.00540094,0.105294463,30,29,593,0.998313659,21,0.965177703,2.83895e-06,0.001170245,0.001684918,0.034208842,0.663074674,0.010893513,0.104371995
2004,"false_l67","smhe",0,0,0,,22,,,,,,0,0,0,,21,,,,,,,,
2004,"false_l67","whib",0,0,0,,21,,,,,,0,0,0,,14,,,,,,,,
2004,"hidden","greg",31,27,489,0.991820041,28,0.79454889,1.65911e-05,0.008347698,0.004073217,0.091365735,33,29,663,0.993966817,21,0.880662715,9.04492e-06,0.003131258,0.003007478,0.055957645,0.699729583,0.008477124,0.092071299
2004,"hidden","smhe",10,0,80,0.875,28,0.023780747,0.001367188,0.000791733,0.036975499,0.028137759,0,0,20,1,50,1,0,0,0,0,0.023780747,0.000791733,0.028137759
2004,"hidden","whib",23,21,375,0.994666667,21,0.893776323,1.41464e-05,0.005037165,0.003761166,0.070972988,36,36,498,1,14,1,0,0,0,0,0.893776323,0.005037165,0.070972988
2004,"tamiami_west","wost",10,0,80,0.875,28,0.023780747,0.001367188,0.000791733,0.036975499,0.028137759,0,0,1,1,50,1,0,0,0,0,0.023780747,0.000791733,0.028137759
2011,"joule","gbhe",1,1,4.5,1,28,1,0,0,,,2,2,53.5,1,60,1,0,0,,,1,0,0
2011,"joule","greg",54,50,856.5,0.995329831,28,0.877155458,5.42716e-06,0.003304513,,,53,35.5,836.5,0.979079498,21,0.641471086,2.44864e-05,0.004635333,,,0.562669865,0.004941509,0.070295866
2011,"joule","rosp",3,2,49,0.979591837,28,0.561389655,0.000407993,0.105052782,,,2,2,20,1,21,1,0,0,,,0.561389655,0.105052782,0.324118469
2011,"joule","smhe",2,2,48,1,22,1,0,0,,,2,2,10,1,14,1,0,0,,,1,0,0
2011,"tamiami_west","bcnh",65,43,716.5,0.969295185,28,0.417608711,4.15381e-05,0.006044904,0.006445004,0.07774898,66,47,950.5,0.980010521,21,0.654403327,2.06101e-05,0.004052735,0.004539835,0.063661095,0.27328453,0.003319975,0.057619228
2011,"tamiami_west","greg",15,11,257,0.984435798,28,0.644535941,5.96185e-05,0.020036261,0.007721303,0.141549502,11,10,217,0.995391705,21,0.907557946,2.11385e-05,0.007749503,0.004597664,0.08803126,0.584953714,0.019877716,0.140988354
2011,"tamiami_west","lbhe",23,7,308,0.948051948,22,0.309248049,0.000159901,0.008234661,0.01264519,0.090745032,9,8,123.5,0.991902834,14,0.892417002,6.50332e-05,0.010317838,0.008064317,0.101576758,0.275978217,0.007629854,0.087349037
2011,"tamiami_west","sneg",28,12,412.5,0.961212121,22,0.418815989,9.03839e-05,0.008305097,0.009507047,0.091132305,13,12,179.5,0.994428969,14,0.924767898,3.08635e-05,0.005231412,0.005555491,0.072328498,0.387307582,0.008063556,0.089797303
2011,"tamiami_west","trhe",24,9,327,0.95412844,22,0.355918457,0.000133845,0.009014368,0.011569146,0.094944027,10,9,137.5,0.992727273,14,0.90285778,5.25079e-05,0.008512545,0.007246233,0.092263453,0.321343748,0.008503169,0.092212628
2011,"tamiami_west","whib",66,40,931,0.97207304,21,0.551666818,2.9159e-05,0.004141593,0.005399909,0.064355208,40,33,515.5,0.986420951,14,0.825794578,2.59838e-05,0.003569263,0.005097433,0.059743308,0.455563467,0.003925343,0.062652556
2011,"tamiami_west","wost",19,14,374,0.986631016,28,0.686014651,3.52681e-05,0.013367644,0.005938692,0.115618529,14,10,428.5,0.990665111,50,0.62566724,2.15817e-05,0.021520795,0.004645608,0.146699676,0.429216893,0.015648606,0.125094389
