"year","colony","nest_number","species","n_days_incubation","incubation_success","n_days_nestling","nestling_success","clutch","brood","fledged","clutch_type","young_lost","real_success","real_failure","start_date","end_date","notes"
1993,alley_north,849,bcnh,10,0,,,3,,,1,,0,1,,,"the original was listed as BC?, this restart was not labeled"
1993,alley_north,851,bcnh,10,0,,,3,,,2,,0,1,,,""
1993,alley_north,835,bcnh,35,0,,,3,,,2,,0,1,,,""
1993,alley_north,840,bcnh,10,0,,,3,,,1,,0,1,17-Apr,,""
1993,alley_north,837,greg,7,1,21,1,4,4,3,2,1,1,0,27-Mar,,""
1993,alley_north,847,greg,12,1,21,1,3,2,2,2,,1,0,2-Apr,,""
1993,alley_north,843,greg,13,1,21,1,2,2,2,2,,1,0,2-Apr,,""
1993,alley_north,861,greg,10,1,21,1,3,3,1,2,2,1,0,31-Mar,,""
1993,alley_north,884,greg,6,1,21,1,3,3,2,2,1,1,0,3-Apr,,""
1993,alley_north,832,greg,35,0,,,3,,,2,,0,1,,,""
1993,alley_north,842,greg,10,1,21,1,3,3,3,2,,1,0,31-Mar,,""
1993,alley_north,845,greg,10,0,,,2,,,2,,0,1,,,"On last obs day one egg hatched."
1993,alley_north,833,greg,12,1,21,1,3,2,1,2,1,1,0,2-Apr,,"On last obs day 2 e hatched"
1993,alley_north,899,greg,35,0,,,2,,,2,,0,1,,,""
1993,alley_north,829,greg,10,1,21,1,3,3,2,2,1,1,0,30-Mar,,""
1993,alley_north,831,greg,12,1,21,1,3,3,3,2,,1,0,1-Apr,,""
1993,alley_north,848,greg,10,0,,,1,,,1,,0,1,,,""
1993,alley_north,841,greg,28,1,15,,3,3,,1,,,1,17-Apr,,""
1993,alley_north,838,greg,20,1,21,1,2,2,2,1,,1,0,15-Apr,,"849 was listed as a BC?, this restart was not labeled."
1993,alley_north,909,smhe,15,1,,,3,,,2,,,1,,,""
1993,alley_north,906,smhe,35,0,,,1,,,2,,0,1,7-May,,""
1993,alley_north,849a,smhe,15,1,,,2,,,2,,,1,,,""
1993,alley_north,846,smhe,35,0,,,2,,,2,,0,1,,,""
1993,alley_north,830,smhe,35,0,,,3,,,2,,0,1,,,""
1993,alley_north,844,smhe,10,0,,,1,,,2,,1,0,,,""
1993,alley_north,834,smhe,35,0,,,3,,,2,,0,1,,,""
1993,alley_north,858,smhe,35,0,,,2,,,2,,0,1,,,""
1993,alley_north,846b,smhe,8,1,,,3,,,2,,,1,,,""
1993,alley_north,916,smhe,7,1,,,3,,,2,,,1,,,""
1993,alley_north,846a,smhe,35,0,,,3,,,2,,0,1,,,""
1993,alley_north,888,smhe,35,0,,,2,,,2,,0,1,,,""
1993,alley_north,910,smhe,15,1,,,4,,,2,,,1,,,""
1993,alley_north,902,smhe,22,1,7,,3,2,,1,,,1,26-Apr,,""
1993,alley_north,885,smhe,24,0,,,4,,,1,,0,1,24-Apr,,""
1993,alley_north,851a,smhe,11,0,,,2,,,1,,0,1,,,""
1993,alley_north,920,smhe,7,1,,,3,,,1,,,1,,,""
1993,alley_north,851b,smhe,7,1,,,4,,,1,,,1,,,""
1993,alley_north,855a,smhe,7,1,,,3,,,1,,,1,,,""
1993,alley_north,900,sneg,22,1,7,,3,3,,1,,,1,28-Apr,,""
1993,alley_north,887,sneg,165,1,14,1,2,2,2,1,,1,0,19-Apr,,""
1993,alley_north,911,sneg,115,1,3.5,,3,,,2,,,1,3-May,,""
1993,alley_north,912,sneg,115,1,3.5,,4,,,2,,,1,3-May,,""
1993,alley_north,857,trhe,235,1,14,1,3,3,3,1,,1,0,15-Apr,,""
1993,alley_north,860,trhe,16,1,14,1,4,3,3,1,,1,0,11-Apr,,"3rd visit 4 eggs-dump"
1993,alley_north,859,trhe,16,1,14,1,3,3,3,1,,1,0,12-Apr,,""
1993,alley_north,850a,trhe,22,1,12,,3,3,,1,,,1,,,""
1993,alley_north,828,trhe,235,1,14,1,3,2,1,1,1,1,0,13-Apr,,""
1993,alley_north,889,trhe,165,1,8.5,0,2,1,,1,1,0,1,19-Apr,,""
1993,alley_north,840a,trhe,22,1,1,,3,,,1,,,1,5-May,,""
1993,alley_north,836,trhe,235,1,14,1,3,2,2,1,,1,0,13-Apr,,""
1993,alley_north,839,trhe,235,1,8.5,0,3,3,,1,3,0,1,15-Apr,,""
1993,alley_north,827,trhe,13,1,14,1,3,3,3,2,,1,0,8-Apr,,""
1993,alley_north,854,trhe,12,1,14,1,4,3,3,2,,1,0,8-Apr,,""
1993,alley_north,855,trhe,10,1,14,1,3,2,1,2,1,1,0,5-Apr,,""
1993,alley_north,852,trhe,10,1,14,1,3,3,3,2,,1,0,6-Apr,,""
1993,alley_north,853,trhe,10,1,14,1,4,4,3,2,1,1,0,5-Apr,,""
1993,alley_north,850,trhe,35,0,,,2,,,2,,0,1,,,""
1993,alley_north,901,trhe,35,1,14,1,2,2,2,2,,1,0,12-Apr,,""
