"year","colony","nest_number","species","n_days_incubation","incubation_success","n_days_nestling","nestling_success","clutch","brood","fledged","clutch_type","young_lost","real_success","real_failure","start_date","end_date","notes"
1993,alley_north,886,trhe,95,1,14,1,2,2,2,2,,1,0,12-Apr,,""
1993,alley_north,856,trhe,10,1,14,1,3,3,2,2,1,1,0,5-Apr,,""
1993,frog_city_north,708,greg,175,0,,,3,,,2,,0,1,,,""
1993,frog_city_north,709,greg,4,0,,,1,,,2,,0,1,,,""
1993,frog_city_north,714,greg,4,0,,,1,,,2,,0,1,,,""
1993,frog_city_north,716,greg,41,0,,,2,,,2,,0,1,,,"Never hatched"
1993,frog_city_north,825,greg,28,1,7,,2,2,,1,1,,1,16-Apr,,"Nest scale"
1993,frog_city_north,711,greg,28,1,14,,3,2,,1,,,1,8-Apr,,""
1993,frog_city_north,707,greg,28,1,14,1,2,,,1,,,1,8-Apr,,""
1993,frog_city_north,718,greg,,,8,1,,,2,,1,1,0,27-Feb,,"Age estimated by bill"
1993,frog_city_north,712,greg,,,3,1,,,2,,,1,0,21-Feb,,"Age estimated by bill"
1993,frog_city_north,713,greg,,,3,1,,,2,,,1,0,21-Feb,,"Age estimated by bill"
1993,frog_city_north,715,greg,,,5,1,,,1,,1,1,0,23-Feb,,"Age estimated by bill"
1993,frog_city_north,710,greg,,,14,1,,,2,,1,1,0,,,"Age estimated by bill"
1993,frog_city_north,717,greg,,,2,1,,,2,,,1,0,20-Feb,,"Age estimated by bill"
1993,frog_city_north,706,greg,,,4,0,,,,,2,0,1,1-Mar,,"Age estimated by bill"
1993,frog_city_north,826,smhe,26,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,801a,caeg,24,1,14,1,3,3,3,1,,1,0,5-May,,""
1993,frog_city_south,3,caeg,35,0,,,1,,,2,,0,1,,,""
1993,frog_city_south,923,greg,9,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,651,greg,3,0,,,3,,,2,,0,1,1-Mar,,""
1993,frog_city_south,915,greg,10,1,21,1,2,2,2,2,,1,0,1-May,,""
1993,frog_city_south,686,greg,7,1,21,1,3,3,2,2,1,1,0,15-Mar,,"2c + 1e on last visit"
1993,frog_city_south,806,greg,1,1,13,0,2,1,,2,1,0,1,14-Mar,,""
1993,frog_city_south,694a,greg,35,0,,,1,,,2,,0,1,,,""
1993,frog_city_south,694b,greg,3,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,671,greg,35,1,3.5,0,2,2,,2,2,0,1,11-Mar,,"2c + 1e on last visit"
1993,frog_city_south,691,greg,35,1,21,1,3,3,2,2,1,1,0,13-Mar,,""
1993,frog_city_south,672,greg,17,1,21,1,3,3,3,2,,1,0,25-Mar,,""
1993,frog_city_south,914,greg,16,1,17,,2,2,,2,,,1,7-May,,"1e after 18 obs incubation days, obs e for total 35 days."
1993,frog_city_south,685,greg,25,1,21,1,3,3,2,1,1,1,0,4-Apr,,""
1993,frog_city_south,694,greg,24,1,2.5,0,2,,,1,,0,1,1-Apr,,""
1993,frog_city_south,692,greg,21,1,21,1,3,2,2,1,,1,0,30-Mar,,""
1993,frog_city_south,688,greg,21,1,21,1,3,3,3,1,,1,0,30-Mar,,""
1993,frog_city_south,653,greg,22,1,21,1,3,3,2,1,1,1,0,26-Mar,,""
1993,frog_city_south,863,greg,28,1,21,1,2,2,2,1,,1,0,17-Apr,,""
1993,frog_city_south,687,greg,21,1,21,1,1,1,1,1,,1,0,28-Mar,,""
1993,frog_city_south,676,greg,21,1,21,1,3,3,2,1,1,1,0,28-Mar,,""
1993,frog_city_south,671a,greg,25,1,3.5,0,3,,,1,1,0,1,13-Apr,,""
1993,frog_city_south,684,greg,31,1,21,1,3,3,3,1,,1,0,4-Apr,,""
1993,frog_city_south,690,greg,21,1,21,1,3,3,3,1,,1,0,31-Mar,,""
1993,frog_city_south,1,greg,25,1,21,1,4,1,1,1,,1,0,1-May,,""
1993,frog_city_south,673,greg,,,24,1,,,2,,,1,0,,,""
1993,frog_city_south,656,greg,,,9.5,0,2,1,,,1,0,1,4-Mar,,""
1993,frog_city_south,807,greg,,,21,1,,,1,,,1,0,,,""
1993,frog_city_south,650,greg,,,21,1,,,1,,1,1,0,,,""
1993,frog_city_south,652,greg,,,21,1,2,1,1,,,1,0,18-Feb,,""
1993,frog_city_south,655,greg,,,10,1,,,2,,1,1,0,18-Feb,,""
1993,frog_city_south,680a,lbhe,16,1,14,1,3,3,2,1,1,1,0,13-May,,""
1993,frog_city_south,922,lbhe,16,1,9,,3,3,,1,,,1,20-May,,""
1993,frog_city_south,907,lbhe,23,1,14,1,3,3,3,1,,1,0,10-May,,""
1993,frog_city_south,8,smhe,105,0,,,3,,,1,,0,1,3-May,,""
1993,frog_city_south,682,smhe,155,0,,,4,,,1,,0,1,4-Apr,,""
1993,frog_city_south,897,smhe,105,0,,,4,,,1,,0,1,28-Apr,,""
1993,frog_city_south,7,smhe,21,1,,,3,,,1,,,1,3-May,,""
1993,frog_city_south,895,smhe,245,0,,,3,,,1,,0,1,,,""
1993,frog_city_south,10,smhe,24,0,,,2,,,1,,0,1,5-May,,""
1993,frog_city_south,811,smhe,275,0,,,4,,,1,,0,1,9-Apr,,""
1993,frog_city_south,801,smhe,205,0,,,3,,,1,,0,1,9-Apr,,"Only 1e left on day 12 of obs."
1993,frog_city_south,893,smhe,175,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,878a,smhe,35,0,,,1,,,2,,0,1,,,""
1993,frog_city_south,908,smhe,23,0,,,2,,,2,,0,1,,,""
1993,frog_city_south,921a,smhe,6,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,864,smhe,155,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,913,smhe,12,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,678a,smhe,145,0,,,3,,,2,,0,1,,,"3e on first two visits, 43 on 3rd visit, dump nest."
1993,frog_city_south,878,smhe,95,0,,,4,,,2,,0,1,,,""
1993,frog_city_south,689,smhe,35,0,,,1,,,2,,0,1,,,""
1993,frog_city_south,674,smhe,35,0,,,1,,,2,,0,1,,,""
1993,frog_city_south,896,smhe,105,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,877,smhe,3,0,,,2,,,2,,0,1,,,""
1993,frog_city_south,9,smhe,105,0,,,2,,,2,,0,1,,,""
1993,frog_city_south,803,trhe,14,1,14,1,2,2,2,2,,1,0,3-Apr,,""
1993,frog_city_south,921,trhe,3,1,6,0,3,3,,2,3,0,1,7-May,,""
1993,frog_city_south,866,trhe,145,1,14,1,3,2,2,2,,1,0,10-Apr,,""
1993,frog_city_south,867,trhe,145,1,11,0,4,3,,2,3,0,1,10-Apr,,""
1993,frog_city_south,678,trhe,35,0,,,2,,,2,,0,1,,,""
1993,frog_city_south,868,trhe,8,1,13.5,0,4,4,,2,4,0,1,3-Apr,,""
1993,frog_city_south,5,trhe,35,0,,,2,,,2,,0,1,,,""
1993,frog_city_south,677,trhe,35,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,812,trhe,3,0,,,3,,,2,,0,1,,,""
1993,frog_city_south,782,trhe,205,1,14,1,4,4,4,1,,1,0,7-Apr,,""
1993,frog_city_south,809,trhe,205,1,14,1,3,3,3,1,,1,0,7-Apr,,""
1993,frog_city_south,812a,trhe,245,1,7.5,0,3,3,,1,3,0,1,26-Apr,,""
1993,frog_city_south,677a,trhe,235,1,14,1,3,3,3,1,,1,0,20-Apr,,""
1993,frog_city_south,675,trhe,275,1,14,1,4,4,4,1,,1,0,2-Apr,,""
1993,frog_city_south,648,trhe,16,1,14,1,3,3,2,1,1,1,0,25-Mar,,"Dump nest"
1993,frog_city_south,649,trhe,27,1,14,1,3,2,2,1,,1,0,29-Mar,,""
1993,frog_city_south,810,trhe,205,1,14,1,3,3,1,1,2,1,0,9-Apr,,""
1993,frog_city_south,680,trhe,21,1,13.5,0,4,3,0,1,3,0,1,31-Mar,,""
1993,frog_city_south,681,trhe,21,1,14,1,4,4,3,1,1,1,0,29-Mar,,""
1993,frog_city_south,669,trhe,21,1,14,1,3,3,3,1,,1,0,2-Apr,,""
1993,frog_city_south,800,trhe,205,1,14,1,3,3,3,1,,1,0,7-Apr,,""
1993,frog_city_south,693,trhe,155,1,14,1,4,4,3,1,1,1,0,29-Mar,,""
1993,frog_city_south,683,trhe,18,1,14,1,3,3,3,1,,1,0,31-Mar,,""
1993,frog_city_south,805,trhe,205,1,14,1,3,2,2,1,,1,0,7-Apr,,""
1993,frog_city_south,879,trhe,235,1,14,0,3,2,,1,2,0,1,18-Apr,,""
1993,frog_city_south,678b,trhe,24,1,14,1,3,3,2,1,1,1,0,5-May,,""
1993,frog_city_south,870,trhe,215,1,14,1,3,3,3,1,,1,0,15-Apr,,""
1993,frog_city_south,682a,trhe,22,1,14,1,3,3,3,1,,1,0,3-May,,""
1993,frog_city_south,871,trhe,215,1,14,1,3,3,2,1,1,1,0,13-Apr,,""
1993,frog_city_south,5a,trhe,17,1,14,1,4,3,3,1,,1,0,13-May,,""
1993,frog_city_south,689a,trhe,175,1,14,1,3,2,2,1,,1,0,30-Apr,,""
1993,frog_city_south,862,trhe,215,1,14,1,3,3,3,1,,1,0,13-Apr,,""
1993,frog_city_south,4,trhe,185,1,7,0,3,1,,1,1,0,1,1-May,,""
1993,frog_city_south,802,trhe,18,1,14,1,3,2,2,1,,1,0,7-Apr,,""
1993,frog_city_south,679,trhe,21,1,14,1,4,4,3,1,1,1,0,29-Mar,,""
1993,frog_city_south,668,trhe,21,1,14,1,3,2,2,1,,1,0,2-Apr,,""
1993,frog_city_south,670,trhe,21,1,14,1,3,3,3,1,,1,0,31-Mar,,""
1993,frog_city_south,877a,trhe,235,1,7.5,0,3,1,,1,1,0,1,12-May,,""
1993,frog_city_south,667,trhe,21,1,13.5,0,3,3,,1,3,0,1,2-Apr,,""
1993,frog_city_south,869,trhe,18,1,14,1,4,4,4,1,,1,0,15-Apr,,""
1993,frog_city_south,654,trhe,215,1,14,1,3,3,3,1,,1,0,27-Mar,,"AT day 7, only cold 1e left."
1993,frog_city_south,894,trhe,245,1,7.5,0,2,2,,1,2,0,1,26-Apr,,""
1993,frog_city_south,865,trhe,215,1,14,1,3,2,2,1,,1,0,15-Apr,,""
1993,frog_city_south,804,trhe,205,1,14,1,3,2,2,1,,1,0,7-Apr,,""
1993,frog_city_south,808,trhe,205,1,14,1,3,2,2,1,,1,0,7-Apr,,""
1993,frog_city_south,2,trhe,,,14,1,,,3,,,1,0,13-Apr,,""
1993,hidden,637,greg,,,21,1,3,2,2,,,1,0,27-Feb,,"3rd Nestl day 2c and 2e, day 6 nothing."
1993,hidden,571,greg,,,21,1,3,2,2,,,1,0,22-Feb,,""
1993,hidden,639,greg,,,21,1,2,2,2,,,1,0,28-Feb,,""
1993,hidden,718,greg,15,1,21,1,3,3,2,1,1,1,0,21-Mar,,""
1993,hidden,535,greg,5,1,21,1,3,3,2,2,1,1,0,27-Feb,,""
1993,hidden,516a,smhe,9,0,,,4,,,1,,0,1,9-Apr,,""
1993,hidden,531,smhe,9,0,,,5,,,1,,0,1,16-Mar,,""
1993,hidden,536,smhe,9,0,,,3,,,1,,0,1,22-Mar,,""
1993,hidden,511a,smhe,165,0,,,4,,,1,,0,1,17-Apr,,""
1993,hidden,529a,smhe,9,0,,,5,,,1,,0,1,1-Apr,,""
1993,hidden,529,smhe,9,0,,,5,,,1,,0,1,20-Mar,,""
1993,hidden,510,smhe,22,0,,,4,,,1,,0,1,18-Mar,,""
1993,hidden,518,smhe,33,0,,,2,,,1,,0,1,22-Mar,,""
1993,hidden,630a,smhe,12,1,,,3,,,1,,,1,,,""
1993,hidden,517a,smhe,12,1,,,3,,,1,,,1,15-May,,""
1993,hidden,506a,smhe,8,0,,,2,,,1,,0,1,12-May,,""
1993,hidden,534a,smhe,35,0,,,2,,,1,,,1,15-Apr,,""
1993,hidden,508,smhe,9,0,,,4,,,1,,0,1,20-Mar,,""
1993,hidden,624a,smhe,18,1,10.5,0,4,3,,1,,0,1,9-Apr,,""
1993,hidden,563,smhe,9,0,,,3,,,1,,0,1,22-Mar,,""
1993,hidden,556,smhe,9,0,,,3,,,1,,0,1,20-Mar,,""
1993,hidden,534,smhe,21,0,,,4,,,1,,0,1,16-Mar,,""
1993,hidden,516a,smhe,9,0,,,4,,,1,,0,1,9-Apr,,""
1993,hidden,546,smhe,21,0,,,4,,,1,,0,1,18-Mar,,""
1993,hidden,874,smhe,9,1,14,1,3,3,3,2,,1,0,10-Apr,,""
1993,hidden,545,smhe,3,0,,,5,,,2,,0,1,,,""
1993,hidden,892,smhe,3,0,,,2,,,2,,0,1,,,""
1993,hidden,543,smhe,3,0,,,4,,,2,,0,1,,,""
1993,hidden,553,smhe,3,0,,,2,,,2,,0,1,,,""
1993,hidden,632,smhe,9,0,,,3,,,2,,0,1,24-Mar,,""
1993,hidden,555,smhe,3,0,,,3,,,2,,0,1,18-Mar,,""
1993,hidden,645a,smhe,3,0,,,4,,,2,,0,1,,,""
1993,hidden,562,smhe,9,0,,,3,,,2,,0,1,18-Mar,,""
1993,hidden,504,smhe,3,0,,,2,,,2,,0,1,,,""
1993,hidden,541,smhe,15,0,,,2,,,2,,0,1,20-Mar,,"1st visit 3e, 2nd visit 4e, 3rd visit 2e."
1993,hidden,568,smhe,9,0,,,3,,,2,,0,1,,,""
1993,hidden,715,smhe,9,0,,,3,,,2,,0,1,,,""
1993,hidden,575,smhe,3,0,,,3,,,2,,0,1,18-Mar,,""
1993,hidden,539,smhe,0,,,,3,,,2,,0,1,,,""
1993,hidden,515,smhe,21,0,,,4,,,2,,0,1,,,"On 6th observed incubation day, 2e only."
1993,hidden,645,smhe,15,0,,,3,,,2,,0,1,,,""
1993,hidden,554,smhe,9,0,,,4,,,2,,0,1,16-Mar,,""
1993,hidden,523,smhe,3,0,,,1,,,2,,0,1,,,""
1993,hidden,635,smhe,3,0,,,2,,,2,,0,1,26-Mar,,""
1993,hidden,502,smhe,95,0,,,1,,,2,,0,1,,,""
1993,hidden,576,smhe,15,0,,,4,,,2,,0,1,,,""
1993,hidden,644,smhe,3,0,,,3,,,2,,0,1,,,""
1993,hidden,514,smhe,3,0,,,3,,,2,,0,1,,,""
1993,hidden,563a,smhe,3,0,,,2,,,2,,0,1,,,""
1993,hidden,516,smhe,15,0,,,4,,,2,,0,1,,,""
1993,hidden,570,smhe,9,0,,,3,,,2,,0,1,,,""
1993,hidden,624,smhe,3,0,,,3,,,2,,0,1,,,""
1993,hidden,524,smhe,3,0,,,3,,,2,,0,1,,,""
1993,hidden,558,sneg,15,1,14,1,4,4,3,1,1,1,0,16-Mar,,""
1993,hidden,560,sneg,15,1,14,1,3,3,3,1,,1,0,18-Mar,,""
1993,hidden,530,sneg,22,1,6,0,3,3,0,1,3,0,1,18-Mar,,""
1993,hidden,501,sneg,18,1,14,1,3,3,2,1,1,1,0,18-Mar,,""
1993,hidden,556a,sneg,27,1,14,1,3,3,2,1,1,1,0,15-Apr,,""
1993,hidden,559,sneg,21,1,14,1,3,3,1,1,2,1,0,18-Mar,,""
1993,hidden,634,sneg,21,1,14,1,3,2,2,1,,1,0,26-Mar,,""
1993,hidden,550,sneg,21,1,12,0,3,3,,1,3,0,1,18-Mar,,""
1993,hidden,570a,sneg,235,1,14,1,3,3,3,1,,1,0,19-Apr,,""
1993,hidden,547,sneg,21,1,12,0,3,3,1,1,2,1,0,18-Mar,,""
1993,hidden,814,sneg,,,14,1,,,1,,2,1,0,,,""
1993,hidden,903,sneg,,,14,1,,,1,,1,1,0,7-Apr,,""
1993,hidden,813,sneg,,,14,1,,,2,,1,1,0,,,""
1993,hidden,640,trhe,15,1,14,1,4,4,1,2,3,1,0,21-Mar,,""
1993,hidden,638,trhe,15,1,14,1,4,4,4,2,,1,0,21-Feb,,""
1993,hidden,904,trhe,9,1,14,1,4,4,3,2,1,1,0,19-Apr,,""
1993,hidden,561,trhe,385,1,2.5,,6,,,2,,,1,20-Mar,,""
1993,hidden,557,trhe,9,1,14,1,4,4,4,2,,1,0,11-Mar,,""
1993,hidden,717,trhe,5,1,14,1,4,4,4,2,,1,0,17-Mar,,""
1993,hidden,563b,trhe,9,1,3,,3,3,,2,,,1,4-May,,""
1993,hidden,519a,trhe,14,1,3,,3,2,,2,,,1,4-May,,""
1993,hidden,577,trhe,21,1,14,1,3,3,3,1,,1,0,18-Mar,,""
1993,hidden,515a,trhe,23,1,10,,3,3,,1,,,1,23-Apr,,""
1993,hidden,531a,trhe,21,1,14,1,3,2,2,1,,1,0,5-Apr,,""
1993,hidden,567,trhe,21,1,14,1,4,4,4,1,,1,0,16-Mar,,""
1993,hidden,513a,trhe,22,1,4,,3,2,,1,,,1,3-May,,""
1993,hidden,525,trhe,21,1,14,1,4,3,3,1,,1,0,16-Mar,,""
1993,hidden,521,trhe,21,1,14,1,3,2,2,1,,1,0,18-Mar,,""
1993,hidden,514a,trhe,21,1,14,1,4,4,2,1,2,1,0,28-May,,""
1993,hidden,506,trhe,21,1,14,1,3,3,3,1,,1,0,18-Mar,,""
1993,hidden,502a,trhe,26,1,14,1,4,4,3,1,1,1,0,1-Apr,,""
1993,hidden,715a,trhe,225,1,14,1,4,3,3,1,,1,0,15-Apr,,""
1993,hidden,628,trhe,21,1,6,0,4,4,,1,4,0,1,22-Mar,,""
1993,hidden,526a,trhe,23,1,9,,2,2,,1,,,1,27-Apr,,""
1993,hidden,564,trhe,15,1,12,0,4,3,0,1,3,0,1,16-Mar,,""
1993,hidden,511,trhe,18,1,9,0,3,3,,1,3,0,1,18-Mar,,""
1993,hidden,627,trhe,21,1,12,0,4,4,0,1,4,0,1,22-Mar,,""
1993,hidden,529b,trhe,15,1,14,1,4,2,2,1,,1,0,8-Apr,,"1st obs day= 1e, 7th day= 3e, 13th day =4e, dump nest."
1993,hidden,566,trhe,21,1,14,1,3,3,3,1,,1,0,20-Mar,,""
1993,hidden,544a,trhe,23,1,9,,3,3,,1,,,1,25-Apr,,""
1993,hidden,542,trhe,15,1,6,0,4,2,,1,2,0,1,16-Mar,,""
1993,hidden,636,trhe,21,1,14,1,4,4,3,1,1,1,0,24-Mar,,""
1993,hidden,630,trhe,21,1,14,1,4,4,4,1,,1,0,24-Mar,,""
1993,hidden,512,trhe,18,1,14,1,4,4,4,1,,1,0,16-Mar,,""
1993,hidden,573a,trhe,17,1,9,,3,2,,1,,,1,28-Apr,,""
1993,hidden,520,trhe,21,1,14,1,4,3,3,1,,1,0,16-Mar,,""
1993,hidden,500,trhe,21,1,14,1,4,4,4,1,,1,0,18-Mar,,""
1993,hidden,507,trhe,24,1,14,1,3,3,3,1,,1,0,22-Mar,,""
1993,hidden,572,trhe,21,1,14,1,4,3,3,1,,1,0,18-Mar,,""
1993,hidden,629,trhe,21,1,12,0,3,3,,1,3,0,1,24-Mar,,"On 24th day of obs, 1e p."
1993,hidden,551,trhe,21,1,12,0,3,3,,1,3,0,1,18-Mar,,""
1993,hidden,713,trhe,27,1,14,1,3,3,3,1,,1,0,1-Apr,,""
1993,hidden,514a,trhe,21,1,14,1,4,4,4,1,,1,0,28-May,,""
1993,hidden,710,trhe,26,1,14,1,3,3,3,1,,1,0,3-Apr,,""
1993,hidden,517,trhe,21,1,14,1,4,4,3,1,1,1,0,18-Mar,,""
1993,hidden,540,trhe,15,1,12,0,4,4,,1,4,0,1,16-Mar,,""
1993,hidden,714,trhe,27,1,14,1,4,3,3,1,,1,0,1-Apr,,""
1993,hidden,711,trhe,21,1,14,1,4,4,4,1,,1,0,28-Mar,,""
1993,hidden,509,trhe,17,1,14,1,3,3,3,1,,1,0,17-Mar,,"On first visit 6.5 cm bill."
1993,hidden,552,trhe,18,1,14,1,4,4,4,1,,1,0,16-Mar,,""
1993,hidden,569,trhe,15,1,14,1,4,4,4,1,,1,0,16-Mar,,""
1993,hidden,643,trhe,15,1,6,0,4,2,,1,2,0,1,21-Mar,,""
1993,hidden,623,trhe,21,1,14,1,4,4,3,1,1,1,0,26-Mar,,""
1993,hidden,503,trhe,15,1,14,1,4,4,4,1,,1,0,16-Mar,,""
1993,hidden,626,trhe,21,1,14,1,4,3,2,1,1,1,0,24-Mar,,""
1993,hidden,519,trhe,15,1,14,1,4,3,3,1,,1,0,16-Mar,,""
1993,hidden,565,trhe,25,1,14,1,4,3,3,1,3,1,0,20-Mar,,""
1993,hidden,574,trhe,21,1,14,1,3,3,3,1,,1,0,18-Mar,,""
1993,hidden,548,trhe,21,1,14,1,4,3,3,1,,1,0,18-Mar,,""
1993,hidden,642,trhe,21,1,14,1,4,3,3,1,,1,0,26-Mar,,""
1993,hidden,533,trhe,21,1,14,1,4,4,3,1,1,1,0,16-Mar,,""
1993,hidden,712,trhe,21,1,14,1,4,4,4,1,,1,0,1-Apr,,""
1993,hidden,544,trhe,15,1,12,0,4,3,,1,3,0,1,16-Mar,,""
1993,hidden,625,trhe,275,1,14,1,4,4,3,1,1,1,0,24-Mar,,""
1993,hidden,815,trhe,22,1,14,1,4,4,4,1,,1,0,11-Apr,,""
1993,hidden,526,trhe,15,1,14,1,4,4,4,1,,1,0,16-Mar,,""
1993,hidden,553a,trhe,165,1,14,1,4,3,3,1,,1,0,16-Apr,,""
1993,hidden,573,trhe,21,1,12,0,5,4,4,1,4,0,1,14-Mar,,""
1993,hidden,532,trhe,13,1,14,1,5,5,4,1,1,1,0,14-Mar,,""
1993,hidden,537,trhe,24,1,14,1,4,4,4,1,,1,0,22-Mar,,""
1993,hidden,523a,trhe,22,1,14,1,4,2,2,1,,1,0,1-Apr,,""
1993,hidden,543a,trhe,21,1,14,1,3,3,3,1,,1,0,30-May,,""
1993,hidden,716,trhe,21,1,14,1,4,3,3,1,,1,0,30-Mar,,""
1993,hidden,633,trhe,275,1,14,1,6,4,4,1,,1,0,26-Mar,,""
1993,hidden,522,trhe,19,1,14,1,4,4,2,1,2,1,0,16-Mar,,""
1993,hidden,513,trhe,15,1,14,1,4,4,4,1,,1,0,16-Mar,,""
1993,hidden,540a,trhe,23,1,9,,3,2,,1,,,1,23-Apr,,""
1993,hidden,528,trhe,21,1,6,0,3,3,0,1,3,0,1,18-Mar,,""
1993,hidden,549,trhe,27,1,12,0,4,4,,1,4,0,1,20-Mar,,""
1993,hidden,631,trhe,21,1,14,1,3,3,3,1,,1,0,26-Mar,,""
1993,hidden,890,trhe,105,1,14,1,4,4,4,1,,1,0,16-Apr,,""
1993,hidden,505,trhe,21,1,14,1,5,3,3,1,,1,0,16-Mar,,""
1993,hidden,527,trhe,21,1,14,1,3,3,2,1,1,1,0,20-Mar,,""
1993,hidden,538,trhe,18,1,14,1,4,1,1,1,,1,0,19-Mar,,""
1993,hidden,641,trhe,21,1,14,1,3,2,2,1,,1,0,28-Mar,,""
1993,hidden,416,greg,0,,,,3,,,2,,0,1,,,""
1993,hidden,370,greg,25,1,21,1,3,3,2,2,1,1,0,28-Jan,,""
