"year","colony","nest_number","species","n_days_incubation","incubation_success","n_days_nestling","nestling_success","clutch","brood","fledged","clutch_type","young_lost"
2024,"6th_bridge","183","greg",28,0,,0,3,,,,
2024,"6th_bridge","211","greg",25,0,0,0,3,,,,
2024,"6th_bridge","213","greg",10,0,0,0,2,,,,
2024,"6th_bridge","215","greg",2,0,0,0,1,,,,
2024,"6th_bridge","217","greg",10,0,0,0,2,,,,
2024,"6th_bridge","219","greg",3,0,0,0,2,,,,
2024,"6th_bridge","241","greg",3,0,0,0,2,,,,
2024,"6th_bridge","261","rosp",11,0,0,0,3,0,0,,3
2024,"6th_bridge","400","rosp",22,1,25,1,4,3,0,,4
2024,"6th_bridge","464","greg",28,1,3,0,3,2,0,,3
2024,"6th_bridge","466","smhe",15,0,0,0,3,,,,
2024,"6th_bridge","468","smhe",11,0,0,0,3,,,,
2024,"6th_bridge","470","glib",17,0,0,0,3,,,,
2024,"6th_bridge","472","smhe",13,0,0,0,5,,,,
2024,"6th_bridge","474","smhe",15,0,0,0,4,,,,
2024,"6th_bridge","476","glib",4,0,0,0,3,,,,
2024,"6th_bridge","478","whib",11,0,0,0,2,0,0,,2
2024,"6th_bridge","480","whib",11,0,0,0,2,0,0,,2
2024,"6th_bridge","482","whib",10,0,0,0,1,0,0,,1
2024,"6th_bridge","484","whib",2,0,0,0,1,0,0,,1
2024,"6th_bridge","486","whib",3,0,0,0,2,0,0,,2
2024,"6th_bridge","488","whib",17,0,0,0,2,0,0,,2
2024,"6th_bridge","492","whib",21,1,4,0,2,1,0,,2
2024,"6th_bridge","494","whib",3,0,0,0,2,0,0,,2
2024,"6th_bridge","496","whib",3,0,0,0,2,0,0,,2
2024,"6th_bridge","498","bcnh",28,1,5,0,2,2,0,,2
2024,"6th_bridge","58","greg",28,1,39,1,3,1,0,,3
2024,"6th_bridge","60","greg",16,0,0,0,2,,,,
2024,"6th_bridge","62","greg",4,0,0,0,3,,,,
2024,"6th_bridge","639","greg",12,0,0,0,3,0,0,,3
2024,"6th_bridge","64","greg",28,1,44,1,2,1,0,,2
2024,"6th_bridge","640","bcnh",28,1,11,1,2,2,2,,0
2024,"6th_bridge","641","glib",11,0,0,0,2,0,0,,2
2024,"6th_bridge","642","whib",10,0,0,0,2,0,0,,2
2024,"6th_bridge","643","whib",3,0,0,0,2,0,0,,2
2024,"6th_bridge","644","whib",3,0,0,0,2,0,0,,2
2024,"6th_bridge","66","greg",28,1,12,1,3,2,2,,1
2024,"6th_bridge","68","greg",28,1,43,1,2,2,1,,1
2024,"6th_bridge","70","greg",28,1,9,1,2,1,1,,1
2024,"6th_bridge","700","smwh",22,1,19,0,2,2,0,,2
2024,"6th_bridge","701","whib",21,1,11,0,2,2,0,,2
2024,"6th_bridge","702","bcnh",28,1,17,0,3,3,0,,3
2024,"6th_bridge","703","smwh",22,1,15,0,2,2,0,,2
2024,"6th_bridge","704","glib",4,0,0,0,3,0,0,,3
2024,"6th_bridge","705","glib",4,0,0,0,3,0,0,,3
2024,"6th_bridge","706","bcnh",9,0,0,0,3,0,0,,3
2024,"6th_bridge","707","bcnh",28,1,10,0,3,2,0,,3
2024,"6th_bridge","708","smwh",22,1,17,0,3,3,0,,3
2024,"6th_bridge","709","whib",21,1,4,0,2,1,0,,2
2024,"6th_bridge","710","whib",21,1,12,0,3,3,0,,3
2024,"6th_bridge","711","whib",4,0,0,0,3,0,0,,3
2024,"6th_bridge","712","whib",21,1,11,0,2,2,0,,2
2024,"6th_bridge","713","whib",21,1,6,0,3,3,0,,3
2024,"6th_bridge","714","whib",17,0,0,0,3,0,0,,3
2024,"6th_bridge","715","bcnh",28,1,9,0,4,2,0,,4
2024,"6th_bridge","716","rosp",22,1,11,0,3,3,0,,3
2024,"6th_bridge","717","bcnh",28,1,11,0,3,2,0,,3
2024,"6th_bridge","718","glib",21,1,9,0,4,2,0,,4
2024,"6th_bridge","719","bcnh",28,1,11,0,3,3,0,,3
2024,"6th_bridge","720","smwh",22,1,10,0,4,4,0,,4
2024,"6th_bridge","721","smwh",22,1,20,0,3,3,0,,3
2024,"6th_bridge","722","whib",16,0,0,0,2,0,0,,2
2024,"6th_bridge","723","glib",4,0,0,0,3,0,0,,3
2024,"6th_bridge","724","smwh",22,1,20,0,4,4,0,,4
2024,"6th_bridge","725","smhe",9,0,0,0,3,0,0,,3
2024,"6th_bridge","726","smwh",22,1,18,0,4,3,0,,4
2024,"6th_bridge","727","smwh",22,1,6,0,4,3,0,,4
2024,"6th_bridge","728","smwh",22,1,18,0,4,3,0,,4
2024,"6th_bridge","729","smwh",22,1,10,0,3,2,0,,3
2024,"6th_bridge","730","greg",28,1,4,0,2,1,0,,2
2024,"6th_bridge","731","bcnh",8,0,0,0,2,0,0,,2
2024,"6th_bridge","732","bcnh",28,1,2,0,3,2,0,,3
2024,"6th_bridge","733","smhe",22,0,5,0,5,0,0,,5
2024,"6th_bridge","80","greg",28,1,26,0,2,2,0,,2
2024,"6th_bridge","82","greg",16,0,0,0,2,,,,
2024,"6th_bridge","84","greg",9,0,0,0,2,,,,
2024,"6th_bridge","88","greg",28,1,40,1,2,2,0,,2
2024,"alley_north","110","greg",28,0,,0,4,,,,
2024,"alley_north","125","greg",28,1,41,1,3,3,2,,1
