"year","colony","nest","feather_id","hg","culmen","tarsus","mass","date","nest_feather_id","colony_year","unique_feather_id","clutch","brood","nestlings14days","fledged","datqal_1_good","mindepth_20","maxdepth_20","reclength_20","recrange_20","avg_crfish_20","avg_shrimp_20","avg_totbiomass_20","nbgages","nbpsus","notes"
1994,alley_north,,,14,,,,,5.6,AlleyNorth_1994,1994_AlleyNorth_5.6,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,16,,,,,5.7,AlleyNorth_1994,1994_AlleyNorth_5.7,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,11,,,,,7.1,AlleyNorth_1994,1994_AlleyNorth_7.1,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,15,,,,,7.2,AlleyNorth_1994,1994_AlleyNorth_7.2,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,13,,,,,7.3,AlleyNorth_1994,1994_AlleyNorth_7.3,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,9.1,,,,,7.5,AlleyNorth_1994,1994_AlleyNorth_7.5,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,12,,,,,7.5,AlleyNorth_1994,1994_AlleyNorth_7.5,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,13,,,,,7.5,AlleyNorth_1994,1994_AlleyNorth_7.5,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,17,,,,,7.8,AlleyNorth_1994,1994_AlleyNorth_7.8,,,,,,,,,1.282903226,,,,,,
1994,alley_north,,,13,,,,,8.1,AlleyNorth_1994,1994_AlleyNorth_8.1,,,,,,,,,1.282903226,,,,,,
1994,hidden,,,6.8,,,,,3.9,Hidden_1994,1994_Hidden_3.9,,,,,,,,,1.284375,,,,,,
1994,hidden,,,11,,,,,4.7,Hidden_1994,1994_Hidden_4.7,,,,,,,,,1.284375,,,,,,
1994,hidden,,,9.2,,,,,5.2,Hidden_1994,1994_Hidden_5.2,,,,,,,,,1.284375,,,,,,
1994,hidden,,,6.5,,,,,5.4,Hidden_1994,1994_Hidden_5.4,,,,,,,,,1.284375,,,,,,
1994,hidden,,,7,,,,,5.4,Hidden_1994,1994_Hidden_5.4,,,,,,,,,1.284375,,,,,,
1994,hidden,,,16,,,,,5.4,Hidden_1994,1994_Hidden_5.4,,,,,,,,,1.284375,,,,,,
1994,hidden,,,5.4,,,,,5.6,Hidden_1994,1994_Hidden_5.6,,,,,,,,,1.284375,,,,,,
1994,hidden,,,9.7,,,,,5.8,Hidden_1994,1994_Hidden_5.8,,,,,,,,,1.284375,,,,,,
1994,hidden,,,19,,,,,5.8,Hidden_1994,1994_Hidden_5.8,,,,,,,,,1.284375,,,,,,
1994,hidden,,,4.5,,,,,5.9,Hidden_1994,1994_Hidden_5.9,,,,,,,,,1.284375,,,,,,
1994,hidden,,,7.2,,,,,6.0,Hidden_1994,1994_Hidden_6,,,,,,,,,1.284375,,,,,,
1994,hidden,,,13,,,,,6.1,Hidden_1994,1994_Hidden_6.1,,,,,,,,,1.284375,,,,,,
1994,hidden,,,13,,,,,6.1,Hidden_1994,1994_Hidden_6.1,,,,,,,,,1.284375,,,,,,
1994,hidden,,,15,,,,,6.2,Hidden_1994,1994_Hidden_6.2,,,,,,,,,1.284375,,,,,,
1994,hidden,,,17,,,,,6.2,Hidden_1994,1994_Hidden_6.2,,,,,,,,,1.284375,,,,,,
1994,hidden,,,9.4,,,,,6.4,Hidden_1994,1994_Hidden_6.4,,,,,,,,,1.284375,,,,,,
1994,hidden,,,5.3,,,,,6.5,Hidden_1994,1994_Hidden_6.5,,,,,,,,,1.284375,,,,,,
1994,hidden,,,16,,,,,6.5,Hidden_1994,1994_Hidden_6.5,,,,,,,,,1.284375,,,,,,
1994,hidden,,,7.7,,,,,6.6,Hidden_1994,1994_Hidden_6.6,,,,,,,,,1.284375,,,,,,
1994,hidden,,,25,,,,,6.6,Hidden_1994,1994_Hidden_6.6,,,,,,,,,1.284375,,,,,,
1994,hidden,,,20,,,,,6.7,Hidden_1994,1994_Hidden_6.7,,,,,,,,,1.284375,,,,,,
1994,hidden,,,27,,,,,6.7,Hidden_1994,1994_Hidden_6.7,,,,,,,,,1.284375,,,,,,
1994,hidden,,,13,,,,,6.9,Hidden_1994,1994_Hidden_6.9,,,,,,,,,1.284375,,,,,,
1994,jw1,,,25,,,,,4.2,JW1_1994,1994_JW1_4.2,,,,,,,,,,,,,,,
1994,jw1,,,28,,,,,4.4,JW1_1994,1994_JW1_4.4,,,,,,,,,,,,,,,
1994,jw1,,,21,,,,,4.7,JW1_1994,1994_JW1_4.7,,,,,,,,,,,,,,,
1994,jw1,,,40,,,,,5.0,JW1_1994,1994_JW1_5,,,,,,,,,,,,,,,
1994,jw1,,,28,,,,,5.2,JW1_1994,1994_JW1_5.2,,,,,,,,,,,,,,,
1994,jw1,,,20,,,,,5.6,JW1_1994,1994_JW1_5.6,,,,,,,,,,,,,,,
1994,jw1,,,27,,,,,5.8,JW1_1994,1994_JW1_5.8,,,,,,,,,,,,,,,
1994,jw1,,,26,,,,,6.7,JW1_1994,1994_JW1_6.7,,,,,,,,,,,,,,,
1994,horus,,,17,,,,,3.2,L67_1994,1994_L67_3.2,,,,,,,,,0.9252,,,,,,
1994,horus,,,14,,,,,4.9,L67_1994,1994_L67_4.9,,,,,,,,,0.9252,,,,,,
1994,horus,,,15,,,,,4.9,L67_1994,1994_L67_4.9,,,,,,,,,0.9252,,,,,,
1994,horus,,,16,,,,,4.9,L67_1994,1994_L67_4.9,,,,,,,,,0.9252,,,,,,
1994,horus,,,18,,,,,4.9,L67_1994,1994_L67_4.9,,,,,,,,,0.9252,,,,,,
1994,horus,,,12,,,,,5.0,L67_1994,1994_L67_5,,,,,,,,,0.9252,,,,,,
1994,horus,,,18,,,,,5.0,L67_1994,1994_L67_5,,,,,,,,,0.9252,,,,,,
1994,horus,,,13,,,,,5.1,L67_1994,1994_L67_5.1,,,,,,,,,0.9252,,,,,,
1994,horus,,,10,,,,,5.2,L67_1994,1994_L67_5.2,,,,,,,,,0.9252,,,,,,
1994,horus,,,14,,,,,5.2,L67_1994,1994_L67_5.2,,,,,,,,,0.9252,,,,,,
1994,horus,,,22,,,,,5.3,L67_1994,1994_L67_5.3,,,,,,,,,0.9252,,,,,,
1994,horus,,,11,,,,,5.5,L67_1994,1994_L67_5.5,,,,,,,,,0.9252,,,,,,
1994,horus,,,8.8,,,,,5.6,L67_1994,1994_L67_5.6,,,,,,,,,0.9252,,,,,,
1994,horus,,,25,,,,,5.7,L67_1994,1994_L67_5.7,,,,,,,,,0.9252,,,,,,
1994,horus,,,19,,,,,6.0,L67_1994,1994_L67_6,,,,,,,,,0.9252,,,,,,
1994,horus,,,16,,,,,6.1,L67_1994,1994_L67_6.1,,,,,,,,,0.9252,,,,,,
1994,horus,,,13,,,,,6.2,L67_1994,1994_L67_6.2,,,,,,,,,0.9252,,,,,,
1994,horus,,,18,,,,,6.4,L67_1994,1994_L67_6.4,,,,,,,,,0.9252,,,,,,
1994,horus,,,13,,,,,6.5,L67_1994,1994_L67_6.5,,,,,,,,,0.9252,,,,,,
1994,horus,,,14,,,,,6.5,L67_1994,1994_L67_6.5,,,,,,,,,0.9252,,,,,,
1994,horus,,,15,,,,,6.5,L67_1994,1994_L67_6.5,,,,,,,,,0.9252,,,,,,
1994,horus,,,29,,,,,6.5,L67_1994,1994_L67_6.5,,,,,,,,,0.9252,,,,,,
1994,horus,,,17,,,,,6.7,L67_1994,1994_L67_6.7,,,,,,,,,0.9252,,,,,,
1994,horus,,,23,,,,,6.9,L67_1994,1994_L67_6.9,,,,,,,,,0.9252,,,,,,
1994,horus,,,16,,,,,7.1,L67_1994,1994_L67_7.1,,,,,,,,,0.9252,,,,,,
1994,mud_canal_south,,,8.3,,,,,4.1,MudCanal_1994,1994_MudCanal_4.1,,,,,,,,,,,,,,,
