group_id,year,colony,latitude,longitude,wca,greg,whib,wost,gbhe,rosp,sneg,anhi,trhe,bcnh,lbhe,ycnh,glib,caeg,dcco,grhe,smhe,lawh,lada,smwh,notes,POINT_X,POINT_Y,ave_x,ave_y
2509,1993,2a gbh 1,26.265,-80.388333,,0,0,0,8,,0,,0,0,0,,0,0,,,,,,,,551125.5751,2853782.065,561076.9236,2905175.726
2518,1993,2a gbh 2,26.301667,-80.36,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,551125.5751,2853782.065,563886.0483,2909250.355
2529,1993,2a gbh 3,26.251667,-80.33,,0,0,0,5,,0,,0,0,0,,0,0,,,,,,,,542576.8679,2852478.162,566951.0522,2903728.112
2526,1993,2a SE,26.2375,-80.311,,0,0,0,26,,0,,0,0,0,,0,40,,,,,,,,549604.3542,2858427.553,568869.9642,2902123.897
2519,1993,2A Stub n melaleuc,26.2505,-80.427833,,20,0,0,7,,0,,0,0,0,,0,0,,,,,,,,551125.5751,2853782.065,557114.481,2903616.316
2473,1993,2b Davids,26.182333,-80.348,,0,0,0,0,,10,,0,0,40,,0,100,,,,,,,,535988.9565,2859601.493,565150.4461,2896039.885
2480,1993,2B Melaleuca,26.165,-80.348333,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,526739.5465,2866519.397,565307.6176,2893966.544
2474,1993,2b melaleuca,26.175,-80.34,,2,0,0,0,,0,,0,0,0,,0,0,,,,,,,,529423.5114,2860581.869,565953.9871,2895231.787
2480,1993,2B Melaleuca,26.164,-80.345833,,40,0,0,2,,0,,0,0,0,,0,0,,,,,,,,526756.3465,2866482.554,565307.6176,2893966.544
2489,1993,2b south end,26.1445,-80.3815,,35,0,0,1,,4,,0,0,2,,0,0,,,,,,,,543008.0565,2858109.118,561972.6344,2891909.069
2683,1993,2b unknown,25.144667,-80.381,,10,0,0,0,,0,,0,0,0,,0,0,,,,,,,,547005.0251,2858087.668,562390.5545,2781109.88
2404,1993,3a alley south,26.130167,-80.751667,,0,0,0,0,,0,,0,0,15,,0,0,,,,,,,,528900.8292,2850643.471,524825.1825,2890122.835
71,1993,3a GBH,25.771667,-80.820333,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,575321.4507,2922592.014,517982.6906,2850399.85
961,1993,3a GBH,25.845167,-80.798,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,533210.2304,2855509.655,520242.1418,2858552.802
248,1993,3a gbh,25.782,-80.745667,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,561782.8853,2931760.546,525517.3208,2851558.912
1495,1993,3a gbh,25.9185,-80.736,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,520944.6637,2866254.164,526460.8641,2866702.187
385,1993,3a gbh,25.791167,-80.733333,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,520963.1812,2850456.844,526739.4946,2852583.376
144,1993,3a gbh,25.7775,-80.733,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,532431.4987,2854946.252,526802.8724,2851089.092
1494,1993,3a gbh,25.917,-80.733,,0,0,0,2,,0,,0,0,0,,0,0,,,,,,,,522144.765,2866315.16,526773.8988,2866535.224
