,proportion,pretrained,annotations,precision,recall,iteration
0,0.0,True,0,0.05208333333333333,0.0026664578498930913,
0,0.0,False,0,0.0,0.0,
0,0.25,True,251,0.26265117053231785,0.275676376729391,0
0,0.25,False,181,0.0,0.0,0
0,0.5,True,443,0.3431461466032041,0.5955227961008884,0
0,0.5,False,469,0.0,0.0,0
0,0.75,True,570,0.3771332224947731,0.6780039533384653,0
0,0.75,False,730,0.14956996403542114,0.40745131974398546,0
0,1.0,True,886,0.3876538621780987,0.6600415349683152,0
0,1.0,False,886,0.2540749309170362,0.14463292473671513,0
0,0.25,True,203,0.22737808402587212,0.5762776566919708,1
0,0.25,False,275,0.0,0.0,1
0,0.5,True,466,0.37130109257835453,0.6785594679453153,1
0,0.5,False,459,0.0,0.0,1
0,0.75,True,681,0.3159459702416865,0.5977980340194099,1
0,0.75,False,688,0.1037062809945879,0.48035426093489103,1
0,1.0,True,886,0.41506191796700154,0.5514907248840221,1
0,1.0,False,886,0.19799886873782474,0.12987620265848565,1
0,0.25,True,205,0.29832621130631115,0.751331093269942,2
0,0.25,False,329,0.0,0.0,2
0,0.5,True,410,0.0,0.0,2
0,0.5,False,284,0.0,0.0,2
0,0.75,True,693,0.40466862746568916,0.6949010919729042,2
0,0.75,False,687,0.15960109430364702,0.478056608301714,2
0,1.0,True,886,0.42656010193704746,0.5222069138263404,2
0,1.0,False,886,0.14820314978607985,0.5668888147375926,2
0,0.25,True,178,0.3357653031331664,0.556806022661106,3
0,0.25,False,293,0.0,0.0,3
0,0.5,True,333,0.3406550207632114,0.5588878732785018,3
0,0.5,False,406,0.0,0.0,3
0,0.75,True,605,0.4142584272675819,0.5637512267900417,3
0,0.75,False,668,0.12517811034605947,0.3385330649662512,3
0,1.0,True,886,0.39359139961205614,0.6872423936379487,3
0,1.0,False,886,0.3186507936507937,0.08055934284272641,3
0,0.25,True,322,0.23268599485458516,0.5666911333927989,4
0,0.25,False,183,0.0,0.0,4
0,0.5,True,450,0.3804130158961749,0.7022504364174211,4
0,0.5,False,518,0.0,0.0,4
0,0.75,True,683,0.3330468493847365,0.5513315093283689,4
0,0.75,False,688,0.10270486857529258,0.4788733620697813,4
0,1.0,True,886,0.3643846140581014,0.5634795561935981,4
0,1.0,False,886,0.26059237156665416,0.1384216392302746,4
0,0.25,True,251,0.3482487245644493,0.608507243747239,5
0,0.25,False,286,0.0,0.0,5
0,0.5,True,534,0.36313353819986965,0.6099650995133877,5
0,0.5,False,506,0.0,0.0,5
0,0.75,True,696,0.3357711667903407,0.5976044325010029,5
0,0.75,False,696,0.14945026147997212,0.5727619092481117,5
0,1.0,True,886,0.3963215026381948,0.5475796933291607,5
0,1.0,False,886,0.18750272907718055,0.3811531081789521,5
