colony,latitude,longitude
387,"	25.97397",-80.77251
388,"	25.97029",-80.77474
430,"	25.96867",-80.76341
438,"	25.98024",-80.75647
Shamash,26.24412,-80.43317
Forsetti,25.88681,-80.70217
Jupiter,26.01557,-80.56272
71,26.54026,-80.23328
43,26.51123,-80.43767
Kidlow,26.04123,-80.59968
70/134,26.06944,-80.63514
Austere,25.77982,-80.61312
10,26.47807,-80.28207
Aerie,25.77158,-80.70872
67/001C,25.91318,-80.80832
60,26.02514,-80.69306
Vacation,25.91565,-80.63022
Juno,26.0143,-80.45685
Diana,25.84727,-80.52347
Mel,25.94812,-80.63816
Jerrod,26.00012,-80.59513
Utu,26.37197,-80.31035
63/006,26.6169,-80.30672
66,25.91959,-80.79877
13,25.89387,-80.83727
Joule,26.0123,-80.63233
38/185,26.44892,-80.24226
CypressCity,26.1241,-80.5044
Vulture,26.02564,-80.53916
65,25.86667,-80.80083
Nanse,26.10715,-80.49802
Rhea,26.23782,-80.3128
Henry,25.81913,-80.83983
Zulu,26.5965,-80.28623
Horus,25.96052,-80.57207
Jetport,25.86302,-80.83874
64,25.84139,-80.84643
Hidden,25.77353,-80.83722
Cook NC1,26.5537,-80.2508
Lox 99,26.43822,-80.39053
Cook NC4,26.5328,-80.27617
Lox West,26.55014,-80.44268
Lox Ramp/011,26.49511,-80.22533
Lox 73 / Tyr,26.37187,-80.26597
Jetport South,25.8051,-80.84902
6th Bridge,26.12428,-80.54148
Alley North,26.20132,-80.52873
