subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
43845562,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545936.5546491148,2889420.611271616,545952.410574744,2889436.4671972455],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":32}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/33e4b039-d5cc-4045-939b-4cfbd2d16a1d.png""}",0,,,2020-04-23 14:45:59 UTC,2020-04-23 14:45:59 UTC
43845564,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545825.5631697105,2889531.6027510203,545841.4190953396,2889547.4586766497],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":33}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6a331f7c-43ad-4de2-949a-0cddd326a0a6.png""}",0,,,2020-04-23 14:45:59 UTC,2020-04-23 14:45:59 UTC
43845566,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545888.9868722273,2888897.3657258525,545904.8533684736,2888913.221651482],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":34}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/73e0f64e-eed7-4877-91ab-5bd61d4a5424.png""}",0,,,2020-04-23 14:46:00 UTC,2020-04-23 14:46:00 UTC
43845569,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545793.8513184522,2889277.9079409535,545809.7072440813,2889293.763866583],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":35}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c4c8674b-35a0-413f-878c-98e191abaa33.png""}",0,,,2020-04-23 14:46:01 UTC,2020-04-23 14:46:01 UTC
43845571,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546063.4020541485,2888944.93350274,546079.2579797776,2888960.7894283696],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":36}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9a9a3a8d-e838-477a-872d-0a6ed5354a57.png""}",0,,,2020-04-23 14:46:01 UTC,2020-04-23 14:46:01 UTC
43845573,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545762.1394671937,2889103.492759032,545777.9953928229,2889119.3486846616],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":37}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a78ed769-64e6-45c3-9cd7-712c395547ac.png""}",0,,,2020-04-23 14:46:02 UTC,2020-04-23 14:46:02 UTC
43845575,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545968.2665003733,2889182.772387178,545984.1329966196,2889198.6283128075],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":38}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/b6b5bc85-5eb5-486b-ba28-fd58ecea481d.png""}",0,,,2020-04-23 14:46:03 UTC,2020-04-23 14:46:03 UTC
43845577,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546031.6902028901,2889166.916461549,546047.5461285192,2889182.772387178],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":39}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/915cd03d-f193-4825-820f-d7832b163ff5.png""}",0,,,2020-04-23 14:46:03 UTC,2020-04-23 14:46:03 UTC
43845579,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546031.6902028901,2888881.5098002236,546047.5461285192,2888897.365725853],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":40}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/36c290b5-7761-4f57-b3cc-2f36474789ba.png""}",0,,,2020-04-23 14:46:04 UTC,2020-04-23 14:46:04 UTC
43845581,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545730.4276159353,2889404.7553459867,545746.2835415645,2889420.611271616],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":41}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/0a648744-39b9-4399-b235-214b42faa530.png""}",0,,,2020-04-23 14:46:05 UTC,2020-04-23 14:46:05 UTC
