Name,Longitude,Latitude
TR10NE,-80.762,26.146
TR10NW,-80.767,26.146
TR10SE,-80.762,25.763
TR10SW,-80.767,25.763
TR11NE,-80.772,26.146
TR11NW,-80.777,26.146
TR11SE,-80.772,25.763
TR11SW,-80.777,25.763
TR12NE,-80.782,26.146
TR12NW,-80.787,26.146
TR12SE,-80.782,25.763
TR12SW,-80.787,25.763
TR13NE,-80.792,26.146
TR13NW,-80.797,26.146
TR13SE,-80.792,25.763
TR13SW,-80.797,25.763
TR14NE,-80.802,26.146
TR14NW,-80.807,26.146
TR14SE,-80.802,25.763
TR14SW,-80.807,25.763
TR15NE,-80.812,26.146
TR15NW,-80.817,26.146
TR15SE,-80.812,25.763
TR15SW,-80.817,25.763
TR16NE,-80.822,26.146
TR16NW,-80.827,26.146
TR16SE,-80.822,25.763
TR16SW,-80.827,25.763
TR1NE,-80.672,26.146
TR1NW,-80.677,26.146
TR1SE,-80.672,25.763
TR1SW,-80.677,25.763
TR2NE,-80.682,26.146
TR2NW,-80.687,26.146
TR2SE,-80.682,25.763
TR2SW,-80.687,25.763
TR3NE,-80.692,26.146
TR3NW,-80.697,26.146
TR3SE,-80.692,25.763
TR3SW,-80.697,25.763
TR4NE,-80.702,26.146
TR4NW,-80.707,26.146
TR4SE,-80.702,25.763
TR4SW,-80.707,25.763
TR5NE,-80.712,26.146
TR5NW,-80.717,26.146
TR5SE,-80.712,25.763
TR5SW,-80.717,25.763
TR6NE,-80.722,26.146
TR6NW,-80.727,26.146
TR6SE,-80.722,25.763
TR6SW,-80.727,25.763
TR7NE,-80.732,26.146
TR7NW,-80.737,26.146
TR7SE,-80.732,25.763
TR7SW,-80.737,25.763
TR8NE,-80.742,26.146
TR8NW,-80.747,26.146
TR8SE,-80.742,25.763
TR8SW,-80.747,25.763
TR9NE,-80.752,26.146
TR9NW,-80.757,26.146
TR9SE,-80.752,25.763
TR9SW,-80.757,25.763
