Name,Latitude,Longitude
01 Begin,"25.761","-80.48833"
01 End,"25.761","-80.82833"
02 Begin,"25.78767","-80.85333"
02 End,"25.78767","-80.48833"
03 Begin,"25.81433","-80.48833"
03 End,"25.81433","-80.85167"
04 Begin,"25.841","-80.84666"
04 End,"25.841","-80.48833"
05 Begin,"25.86767","-80.48833"
05 End,"25.86767","-80.84167"
06 Begin,"25.89433","-80.84"
06 End,"25.89433","-80.48833"
07 Begin,"25.921","-80.465"
07 End,"25.921","-80.84"
08 Begin,"25.94767","-80.84"
08 End,"25.94767","-80.44666"
09 Begin,"25.97433","-80.44666"
09 End,"25.97433","-80.83334"
10 Begin,"26.001","-80.83334"
10 End,"26.001","-80.45"
11 Begin,"26.02767","-80.45"
11 End,"26.02767","-80.83334"
12 Begin,"26.05433","-80.83334"
12 End,"26.05433","-80.45"
13 Begin,"26.081","-80.45"
13 End,"26.081","-80.83334"
14 Begin,"26.10767","-80.83334"
14 End,"26.10767","-80.45"
15 Begin,"26.13433","-80.45"
15 End,"26.13433","-80.83334"
16 Begin,"26.161","-80.83334"
16 End,"26.161","-80.833334"
17 Begin,"26.18767","-80.30167"
17 End,"26.18767","-80.83334"
18 Begin,"26.21433","-80.83334"
18 End,"26.21433","-80.30167"
19 Begin,"26.241","-80.30167"
19 End,"26.241","-80.83334"
20 Begin,"26.26767","-80.83334"
20 End,"26.26767","-80.30167"
21 Begin,"26.29433","-80.30167"
21 End,"26.29433","-80.83334"
22 Begin,"26.321","-80.83334"
22 End,"26.321","-80.30167"
23 Begin,"26.34767","-80.30167"
23 End,"26.34767","-80.525"
24 Begin,"26.37433","-80.50667"
24 End,"26.37433","-80.25"
25 Begin,"26.401","-80.24"
25 End,"26.401","-80.48833"
26 Begin,"26.42767","-80.47"
26 End,"26.42767","-80.23666"
27 Begin,"26.45433","-80.22833"
27 End,"26.45433","-80.45333"
28 Begin,"26.481","-80.44"
28 End,"26.481","-80.22667"
29 Begin,"26.50767","-80.22667"
29 End,"26.50767","-80.44"
30 Begin,"26.53433","-80.44"
30 End,"26.53433","-80.23666"
31 Begin,"26.561","-80.25333"
31 End,"26.561","-80.44"
32 Begin,"26.58767","-80.44"
32 End,"26.58767","-80.27333"
33 Begin,"26.61433","-80.31333"
33 End,"26.61433","-80.42"
34 Begin,"26.641","-80.40166"
34 End,"26.641","-80.34666"
