year,month,ppt,tmin,tmean,tmax
1895,1,0,14.9,19.9,24.9
1895,2,70.82,10.7,15.6,20.6
1895,3,4.21,16.3,21.5,26.8
1895,4,123.61,17.6,22.5,27.5
1895,5,174.03,21.4,25.7,30
1895,6,108.45,22.6,27.3,32
1895,7,191.83,23.8,28.1,32.3
1895,8,171.44,24.1,28.4,32.7
1895,9,122.13,23.6,27.6,31.5
1895,10,45.83,21.3,25,28.8
1895,11,55.77,18.6,22.4,26.2
1895,12,18.64,13.7,18.3,23
1896,1,107.45,13,17.8,22.6
1896,2,14.03,13.8,18.6,23.4
1896,3,2.82,15.7,20.9,26.1
1896,4,12.91,18.3,23.9,29.6
1896,5,63.39,21.3,26.2,31.1
1896,6,330.42,23.8,27.6,31.3
1896,7,199.37,24,28.1,32.2
1896,8,131.36,24.3,28.8,33.2
1896,9,128.22,23.7,27.6,31.5
1896,10,67.34,20.7,24.9,29.2
1896,11,76.06,21.4,25,28.6
1896,12,0,14.7,18.9,23.2
1897,1,38.94,12.6,17.5,22.3
1897,2,45.54,17.8,21.9,25.9
1897,3,0,20.1,24.8,29.5
1897,4,92.69,18.6,23.3,28
1897,5,163.1,19.8,24.7,29.5
1897,6,140.83,23.1,27.7,32.3
1897,7,175.63,23.8,28,32.3
1897,8,161.86,23.8,28.3,32.7
1897,9,311.16,22.6,26.3,30
1897,10,132.65,21.1,24.8,28.6
1897,11,26.53,19.3,23.2,27.1
1897,12,38.2,16,20.6,25.2
1898,1,7.25,14.7,20.1,25.5
1898,2,23.03,13,18.6,24.2
1898,3,14.36,17.8,22.7,27.6
1898,4,27.08,17,22.7,28.4
1898,5,47.97,19.6,25.3,30.9
1898,6,106.82,22.2,27.5,32.8
1898,7,219.96,23.5,27.9,32.4
1898,8,324.09,23.9,27.8,31.8
1898,9,140.38,24.5,28.1,31.7
1898,10,167.05,21.8,25.3,28.7
1898,11,62.57,19.4,23.2,27
1898,12,37.97,14.7,19.3,24
1899,1,123.52,16.1,20.3,24.5
1899,2,167.15,15.1,19.9,24.6
1899,3,18.62,16.9,22.2,27.6
1899,4,95.67,17,22.1,27.2
1899,5,29.71,21,26.3,31.5
1899,6,214.54,22.4,27.2,32
1899,7,216.39,23.3,27.4,31.6
1899,8,174.88,24.6,28.9,33.2
1899,9,163.83,23.5,27.4,31.4
1899,10,111.86,22.7,26,29.3
1899,11,9.11,19,22.8,26.6
1899,12,37.4,16.2,20.4,24.6
1900,1,90.46,14.1,18.5,22.9
1900,2,104.19,14.7,19.5,24.3
1900,3,166.31,17.1,21.3,25.6
1900,4,130.49,18.9,24,29
1900,5,207.63,21.5,25.6,29.7
1900,6,219.01,23.3,27.3,31.3
1900,7,155.22,24,28.4,32.8
1900,8,68.16,24,28.6,33.2
1900,9,123.55,24.3,28.3,32.2
1900,10,122.64,23.4,27.1,30.8
1900,11,24.4,17.7,22.1,26.6
1900,12,104.18,16.2,19.9,23.7
1901,1,0.01,13.7,19.2,24.6
1901,2,0,12.1,18.1,24.1
1901,3,14.97,14.6,20.5,26.3
1901,4,47.25,14.9,21.2,27.6
1901,5,143.89,19.1,25.1,31.1
1901,6,260.93,23.1,27.2,31.3
1901,7,169.48,24.4,28.3,32.2
1901,8,261.3,23.6,27.8,32
1901,9,220,23.8,27.8,31.9
1901,10,47.39,22,26,30.1
1901,11,27.04,14.3,19.5,24.7
1901,12,61.92,13.4,18.7,24
1902,1,12.01,11.6,17.5,23.4
1902,2,121.46,11.9,17.2,22.6
1902,3,0,17,22,26.9
1902,4,36.43,16.6,22.8,29
1902,5,62.76,20.7,26.2,31.8
1902,6,157.43,23,27.6,32.2
1902,7,126.32,23.3,28.3,33.4
1902,8,118.92,23.4,28.3,33.2
1902,9,241.49,23.3,27.7,32.1
1902,10,196.36,23.1,26.8,30.5
1902,11,60.74,20.3,24.2,28.1
1902,12,42.69,15.5,20.4,25.3
1903,1,132.82,15.3,19.8,24.2
1903,2,133.6,17.6,22.2,26.8
1903,3,152.11,20,24,28
1903,4,11.07,16.6,22.3,27.9
1903,5,126.47,19.4,24.4,29.5
1903,6,176,21.8,26.6,31.4
1903,7,176.89,23.3,27.9,32.5
1903,8,179.53,23.9,28.5,33.2
1903,9,191.07,23,27,31
1903,10,26.46,19.8,24.5,29.1
1903,11,44.99,16.6,21,25.4
1903,12,34.7,10.6,16.7,22.9
1904,1,69.94,13.1,18.3,23.5
1904,2,79.47,15.4,20.9,26.4
1904,3,27.45,17.5,23,28.5
1904,4,44.13,17.4,23.3,29.2
