year,month,ppt,tmin,tmean,tmax
1904,5,87.74,19.8,25.3,30.8
1904,6,231.35,21.6,26.6,31.7
1904,7,156.74,22.3,27.4,32.5
1904,8,149.54,22.7,27.4,32.1
1904,9,129.87,23.1,27.5,31.9
1904,10,131.31,22,25.9,29.8
1904,11,63.45,16.3,20.6,25
1904,12,22.69,13.8,19.1,24.3
1905,1,0,11,16.7,22.4
1905,2,0,15,20.3,25.6
1905,3,71.46,17.6,22.8,28.1
1905,4,61.77,18.2,23.5,28.7
1905,5,156.3,22.1,26.9,31.8
1905,6,143.65,22.2,27.3,32.3
1905,7,229.42,23.3,28,32.7
1905,8,290.96,23.7,27.9,32
1905,9,173.38,23.9,28,32
1905,10,66.62,22.4,26.2,30
1905,11,8.18,17.7,22.7,27.6
1905,12,162.75,15.8,20,24.1
1906,1,103.92,15.1,19.4,23.8
1906,2,55.79,14.8,19.5,24.3
1906,3,62.97,15.3,20.5,25.7
1906,4,38.43,18.1,23.4,28.8
1906,5,199.73,20.7,25.5,30.3
1906,6,241.82,22.8,27.2,31.6
1906,7,242.71,23.5,27.8,32.2
1906,8,169.04,23.6,27.8,32
1906,9,87.89,23.8,28.1,32.3
1906,10,84.61,21.2,25.3,29.5
1906,11,4.82,18.3,22.9,27.4
1906,12,0,13.7,19.4,25.1
1907,1,7.55,16.1,21.7,27.3
1907,2,31.89,13.3,19.6,25.8
1907,3,0,17.6,24.1,30.5
1907,4,67.55,16.6,23,29.4
1907,5,173.12,20.6,26.2,31.8
1907,6,215.5,21.5,26.8,32.2
1907,7,183.47,23.1,27.9,32.7
1907,8,119.29,23.2,28.1,33
1907,9,184.32,23.4,27.8,32.3
1907,10,31.19,20.2,25.1,30
1907,11,40.77,18.3,23,27.6
1907,12,71.03,14.9,20.1,25.3
1908,1,65.74,14.1,19.2,24.2
1908,2,15.76,12.8,18.3,23.8
1908,3,0.95,17.6,23.5,29.4
1908,4,61.24,20.6,26.6,32.5
1908,5,61.91,20,25.9,31.8
1908,6,173.33,21.6,26.7,31.7
1908,7,158.46,22.8,28,33.1
1908,8,119.92,23.1,28,32.8
1908,9,277.8,23.2,27.3,31.5
1908,10,56.3,20.3,24.6,28.9
1908,11,37.98,17.7,22.4,27
1908,12,17.35,16.6,21.8,26.9
1909,1,21.72,16.9,21.6,26.3
1909,2,12.6,14,20.2,26.4
1909,3,18.95,16.6,22.5,28.4
1909,4,52.84,19.4,24.6,29.7
1909,5,187.24,20.7,25.7,30.7
1909,6,182.93,23.2,27.8,32.4
1909,7,311.08,23.5,27.8,32.1
1909,8,174.96,24.2,28.2,32.3
1909,9,71.85,22.9,27.1,31.3
1909,10,25.72,20.5,24.9,29.2
1909,11,17.6,17.6,22.6,27.5
1909,12,39.32,12.6,18.2,23.8
1910,1,19.68,12.4,18.3,24.3
1910,2,69.65,13.7,19.3,24.9
1910,3,43.69,14.6,20.9,27.2
1910,4,20.29,15.5,22.4,29.3
1910,5,134.13,20,25.4,30.7
1910,6,284.18,21.6,26.6,31.6
1910,7,190.41,22.6,27.3,32.1
1910,8,240.73,22.8,27.7,32.5
1910,9,53.16,22.3,27.2,32.1
1910,10,254.18,20.9,25.2,29.5
1910,11,39.65,13.9,19.8,25.8
1910,12,12.6,10.1,16.4,22.7
1911,1,7.68,14.9,20.7,26.4
1911,2,0,13.9,20.5,27.2
1911,3,39.68,15.5,21.9,28.4
1911,4,38.81,19.2,24.7,30.2
1911,5,158.65,19.1,24.6,30.1
1911,6,124.61,22.1,27.6,33.1
1911,7,168.13,22.3,27.6,32.9
1911,8,217.48,22.9,27.7,32.5
1911,9,85.2,22.9,27.8,32.8
1911,10,121.68,22.7,27.4,32.1
1911,11,105.4,19.9,23.9,27.9
1911,12,63.28,17.2,22,26.9
1912,1,108.77,14.8,19.8,24.8
1912,2,56.48,11.3,17.3,23.2
1912,3,77.34,18.5,23.4,28.3
1912,4,62.35,20.3,25.6,30.8
1912,5,230.44,21.4,26.5,31.7
1912,6,303.15,22.6,26.9,31.3
1912,7,113.64,23.4,28.1,32.7
1912,8,134.04,23.6,28.4,33.2
1912,9,228.3,23.7,27.9,32.1
1912,10,108.1,23.2,26.8,30.5
1912,11,56.74,17.5,21.6,25.7
1912,12,14.73,17.6,22.2,26.8
1913,1,34.64,18.1,22.7,27.3
1913,2,118.46,16.1,21.5,26.9
1913,3,54.87,19.7,24.1,28.5
1913,4,69.87,16.9,22.5,28.1
1913,5,141.58,19,24.5,30
1913,6,147.59,21,26.2,31.3
1913,7,95.99,22.7,27.9,33.1
1913,8,169.86,23.1,27.6,32.2
1913,9,114.21,22.8,27,31.3
1913,10,58.07,19.1,24.1,29.1
1913,11,6.94,18,22.2,26.3
1913,12,54.78,14.7,20.2,25.6
1914,1,29.68,13.3,18.6,23.8
1914,2,18.93,14.9,20.3,25.7
1914,3,30.62,12.5,18.5,24.5
1914,4,78.14,18.2,23.7,29.3
1914,5,104.25,19.9,25.3,30.7
1914,6,128.05,21.7,27.3,32.9
1914,7,174.73,22.5,27.8,33
1914,8,130.84,23,28.2,33.4
1914,9,176.8,22.1,27,31.8
1914,10,98.12,21,25.6,30.1
1914,11,46.02,17.4,21.9,26.3
1914,12,79.61,16.3,20.7,25
1915,1,120.47,15,19.3,23.6
1915,2,99.54,14.5,19.2,24
1915,3,47.66,11.5,17.1,22.7
1915,4,43.87,16.2,21.6,27
1915,5,145.91,21.1,26.6,32
1915,6,177.59,22.2,27.1,32
1915,7,211.73,23.5,28.3,33
1915,8,153.7,23.9,28.8,33.7
1915,9,99.23,23.4,28,32.6
1915,10,215.99,22.6,26.8,30.9
1915,11,54.31,17.7,22.7,27.8
1915,12,34.41,12.5,18.3,24.2
1916,1,10.88,18,22.6,27.3
1916,2,8.29,13.1,19.2,25.4
1916,3,19.57,11.8,19.2,26.7
1916,4,58.44,15.8,22.2,28.5
1916,5,131.43,20.2,25.6,31
1916,6,203.26,21.3,26.8,32.2
1916,7,164.82,23.2,28.1,32.9
1916,8,117.54,23.1,28,32.9
1916,9,133,22.5,27.3,32.1
1916,10,118.94,21.4,25.8,30.1
1916,11,101.48,18.1,22.5,26.9
1916,12,34.24,14.6,20.5,26.4
1917,1,16.2,15.3,21.2,27.2
1917,2,22.07,12,18.9,25.7
1917,3,40.25,17,22.8,28.6
1917,4,40.67,16.4,22.9,29.3
1917,5,76.27,17.6,24.2,30.7
1917,6,168.63,21.6,26.7,31.7
1917,7,176.56,22.6,27.7,32.7
1917,8,182.29,22.7,27.8,32.8
1917,9,230.39,22.6,27,31.4
1917,10,103.86,21.3,25.6,30
1917,11,8.58,14.4,19.6,24.8
1917,12,6.88,11.9,17.7,23.6
1918,1,60.72,10.3,16.7,23.1
1918,2,9.16,16.4,22,27.6
1918,3,58.12,16.9,22.9,29
1918,4,114.43,17.2,23.1,29
1918,5,46.65,19.9,24.8,29.7
1918,6,166.8,21.8,26.9,32
1918,7,132.51,22.3,27.4,32.6
1918,8,171.57,23,28,33.1
1918,9,166.97,21.9,26.8,31.8
1918,10,159.38,22.9,26.9,31
1918,11,73.63,17.2,22.3,27.5
1918,12,27.98,14.9,20,25.1
1919,1,36.02,13.7,18.9,24
1919,2,91.12,14.4,19.6,24.7
1919,3,94.55,17.5,22.5,27.5
1919,4,42.28,16.1,22.4,28.6
1919,5,173.57,19.8,25.3,30.7
1919,6,213.44,22,26.6,31.1
1919,7,165.02,23,27.8,32.5
1919,8,127.62,23.3,28.3,33.4
1919,9,130.62,22.9,27.3,31.8
1919,10,38.42,23.2,27.6,32
1919,11,66.16,18.8,23.3,27.9
1919,12,39.16,14.5,20.2,25.9
1920,1,36.49,14.2,20.2,26.1
1920,2,86.85,12,18.1,24.1
1920,3,10.99,14.6,20.6,26.5
1920,4,144.3,18.8,24.4,29.9
1920,5,161.37,19.1,24.7,30.3
1920,6,158.12,20.9,26.3,31.8
1920,7,220.73,22.7,27.7,32.6
1920,8,126.3,22.4,27.7,33
1920,9,187.08,22.2,27.3,32.4
1920,10,49.72,20.3,24.6,28.8
1920,11,92.68,17.6,22.3,27
1920,12,50.17,14.6,20,25.4
1921,1,7.34,14.5,20.1,25.8
1921,2,51.88,14.5,20.6,26.8
1921,3,39.85,17.5,23.7,29.8
1921,4,32.99,18.1,24,30
1921,5,172.94,18.2,24.2,30.2
1921,6,108.83,20.9,27,33.1
1921,7,151.29,22.6,27.6,32.6
1921,8,102.66,22.5,28.1,33.6
1921,9,62.79,22.5,28.1,33.7
1921,10,287.73,21.6,26,30.5
1921,11,49,18.1,23.4,28.7
1921,12,17.3,15.1,21.2,27.2
1922,1,20.93,14.3,19.7,25.2
1922,2,32.73,16,21.7,27.4
1922,3,0.85,17.6,23.1,28.7
1922,4,16.83,18.9,24.9,30.9
1922,5,212.27,20.2,25.7,31.3
1922,6,187.33,21.7,27.1,32.4
1922,7,169.24,22.2,27.4,32.6
1922,8,149.26,22.7,27.4,32.1
1922,9,252.46,22.6,27,31.4
1922,10,255.45,23,26.7,30.3
1922,11,26.11,19.5,23.8,28.1
1922,12,13.8,17.2,22.4,27.5
1923,1,13.27,15.7,21,26.2
1923,2,20.9,15.5,21.1,26.8
1923,3,12,17.6,23.4,29.3
1923,4,56.87,18.4,24.5,30.6
1923,5,259.81,19.4,25,30.7
1923,6,224.75,22.3,27.1,31.9
1923,7,188.74,23,27.7,32.5
1923,8,194.68,23,28,33
1923,9,138.26,23.3,27.6,32
1923,10,75.33,20.8,25.1,29.4
1923,11,5.45,14.9,20.3,25.8
1923,12,8.77,16.4,21.9,27.3
1924,1,90.56,16.5,20.9,25.4
1924,2,79.4,12.3,18.2,24.1
1924,3,63.42,13.2,19.4,25.5
1924,4,88.29,18.2,23.9,29.6
1924,5,104.49,19.3,25.5,31.6
1924,6,171.46,21.9,27.8,33.7
1924,7,236.87,22.9,28,33.1
1924,8,94.8,23.3,28.6,33.9
1924,9,161.14,22.5,27.2,31.9
1924,10,362.5,21.6,25.2,28.9
1924,11,7.62,17.6,22.3,27
1924,12,9.82,16.8,21.9,27
1925,1,71.77,18.1,22.4,26.7
1925,2,41.87,14.7,20.3,25.9
1925,3,49.05,15.4,21.2,26.9
1925,4,58.94,16.5,22.5,28.5
1925,5,264.61,19.7,24.4,29.1
1925,6,210.9,22.4,26.8,31.3
1925,7,192.26,23.2,27.7,32.3
1925,8,202.14,23.5,28,32.4
1925,9,73.12,23.2,28,32.8
1925,10,64.32,21.7,26.7,31.7
1925,11,54.71,17.9,22.3,26.7
1925,12,88.48,14.5,19.6,24.8
1926,1,110.32,14,19.1,24.2
1926,2,33.98,13.2,19.2,25.2
1926,3,23.94,13.9,19.6,25.4
1926,4,110.28,17.9,23.3,28.7
1926,5,87.86,19.2,24.7,30.1
1926,6,228.63,21.6,26.7,31.7
1926,7,258.79,23.1,27.7,32.2
1926,8,173.99,23.7,28.1,32.5
1926,9,206.61,24.3,28.1,31.9
1926,10,64.59,21.5,26.1,30.6
1926,11,56.84,16.9,22,27.1
1926,12,5.53,16.2,21.5,26.8
1927,1,7.97,12.5,18.5,24.6
1927,2,54.15,16.3,22.2,28.2
1927,3,50.15,15.6,21.2,26.9
1927,4,62.31,18.2,23.8,29.5
1927,5,56.36,19.7,25.8,31.9
1927,6,172.69,22.5,28,33.4
1927,7,174.26,23.2,28,32.9
1927,8,198.39,23,28.2,33.4
1927,9,142.99,22.8,27.3,31.8
1927,10,102,21,25.5,30.1
1927,11,11.88,18.2,22.8,27.4
1927,12,18.1,14.3,19.5,24.8
1928,1,5.15,12,17.8,23.6
1928,2,31.61,15.6,21.1,26.6
1928,3,66.58,15.9,22,28.2
1928,4,99.25,17.9,23.3,28.6
1928,5,118.51,17.9,23.8,29.7
1928,6,207.93,21.7,26.9,32.1
1928,7,202.19,22.9,27.7,32.6
1928,8,274.61,23.8,27.8,31.9
1928,9,317.77,23.6,27.3,31.1
1928,10,64.5,22.3,26.3,30.4
1928,11,7.29,17.4,22,26.6
1928,12,13.16,13.4,19.2,25
1929,1,31.08,16,21.3,26.5
1929,2,10.11,16.5,22,27.4
1929,3,34.2,17.7,23.1,28.6
1929,4,52.71,18.4,24.5,30.6
1929,5,131.1,20.9,26,31.2
1929,6,235.11,21.9,26.5,31.1
1929,7,202.27,22.1,27,31.8
1929,8,110.75,23.1,27.8,32.5
1929,9,374.62,23.2,27.4,31.5
1929,10,108.5,20.6,24.5,28.4
1929,11,33.81,20.3,24.3,28.4
1929,12,39.6,15,19.9,24.8
1930,1,46.48,17,21.9,26.8
1930,2,70.91,15.3,20.9,26.4
1930,3,131.74,14.9,20.3,25.7
1930,4,140.19,18.3,23.2,28.1
1930,5,173.61,21.2,25.7,30.2
1930,6,331.82,22.2,26.1,30.1
1930,7,99.12,23.4,28,32.6
1930,8,143.82,23.1,27.8,32.5
1930,9,249.04,23.6,27.6,31.7
1930,10,94.22,20.4,24.8,29.2
1930,11,18.65,16.5,21.1,25.7
1930,12,76.85,12.4,17.8,23.2
1931,1,78.25,12.6,17.6,22.5
1931,2,28.03,13,18.3,23.7
1931,3,119.09,12.3,17.8,23.4
1931,4,153.92,16.9,21.8,26.7
1931,5,89.17,19.4,24.6,29.7
1931,6,53.93,21.1,26.7,32.2
1931,7,108.19,23.1,28.3,33.5
1931,8,147.4,23,28.2,33.4
1931,9,193.74,23.2,27.6,32
1931,10,79.45,21.4,25.8,30.3
1931,11,5.55,18.6,23,27.5
1931,12,35.94,18.6,23.7,28.8
1932,1,36.21,16.8,21.9,27
1932,2,28.99,16.7,22.7,28.8
1932,3,50.77,14.1,20.4,26.7
1932,4,53.16,16.5,22.7,28.9
1932,5,205.91,19.5,25,30.5
1932,6,234.63,22.6,27.1,31.7
1932,7,84.92,23,28.5,34
1932,8,308.05,23.1,28.1,33
1932,9,139.59,23.7,27.7,31.7
1932,10,110.75,21.3,25.9,30.5
1932,11,102.55,16.2,21.1,25.9
1932,12,1.87,16.5,21.7,27
1933,1,9.25,14.9,20.6,26.3
1933,2,31.3,16.1,22.1,28.1
1933,3,71.71,14.9,20.9,26.8
1933,4,170.66,17.9,23.7,29.4
1933,5,72.94,21.5,26.4,31.3
1933,6,154.5,21.4,26.5,31.5
1933,7,296.51,23.1,27.7,32.4
1933,8,150.35,23.4,27.8,32.3
1933,9,199.27,23.6,28.1,32.6
1933,10,144.97,21.9,26,30
1933,11,48.76,15.1,20.6,26.1
1933,12,3.4,14.6,20.6,26.6
1934,1,19.81,14.2,20.1,26
1934,2,72.01,12.9,19,25
1934,3,82.7,15.8,21.3,26.8
1934,4,112.27,17.2,23.2,29.2
1934,5,309.3,20.5,25.3,30.1
1934,6,227.62,22.4,26.9,31.5
1934,7,147.32,22.6,27.7,32.7
1934,8,158.99,22.7,27.7,32.7
1934,9,189.8,22.7,27.3,31.9
1934,10,73.76,20.9,26,31.2
1934,11,22.1,16.8,22.2,27.5
1934,12,13.31,13.5,19.4,25.3
1935,1,0.32,13,19.3,25.6
1935,2,40.02,12.8,19.2,25.6
1935,3,5.02,16.5,22.5,28.5
1935,4,139.72,17.1,23.8,30.4
1935,5,69.61,20.7,26.3,31.9
1935,6,195.4,21.3,26.8,32.2
1935,7,163.42,23,27.6,32.1
1935,8,147.99,23,28.2,33.5
1935,9,293.69,23,27.3,31.5
1935,10,111.72,22.1,26,29.9
1935,11,22.53,16.9,22.1,27.3
1935,12,46.52,9.4,15.8,22.2
1936,1,54.54,14.7,20.2,25.6
1936,2,106.43,14.8,19.7,24.5
1936,3,84.31,15.1,20.6,26.2
1936,4,46.02,17.9,23.5,29.1
1936,5,152.29,20,24.9,29.8
1936,6,392.38,22.1,26.3,30.6
1936,7,168.82,23.4,27.9,32.5
1936,8,151.72,23.8,28,32.2
1936,9,168.48,23,27.5,32
1936,10,85.79,22.5,26.9,31.3
1936,11,57.74,17.3,22,26.7
1936,12,28.96,16.2,21.1,26
1937,1,45.5,19.9,23.9,27.8
1937,2,32.76,14.8,20.1,25.4
1937,3,117.71,15.5,20.8,26
1937,4,105.73,17.9,22.9,27.8
1937,5,105.86,19.8,24.8,29.8
1937,6,204.75,22,26.9,31.9
1937,7,179.61,22.8,27.6,32.3
1937,8,128.26,23.5,28.1,32.7
1937,9,152.99,22.9,27.1,31.4
1937,10,132.08,20.1,24.7,29.4
1937,11,102.07,16.7,21.1,25.6
1937,12,12.06,13.8,18.9,24.1
1938,1,26.06,13.6,19.2,24.8
1938,2,21.43,15.4,20.7,26
1938,3,27.3,17.1,22.8,28.5
1938,4,13.31,17.9,23.3,28.8
1938,5,117.61,19.7,25.5,31.4
1938,6,180.94,21.7,26.7,31.7
1938,7,234.19,22.8,27.5,32.2
1938,8,37.23,23.5,28.2,32.9
1938,9,168.07,22.7,27.5,32.2
1938,10,91.88,19.8,24.6,29.4
1938,11,51.43,18.9,23.4,27.9
1938,12,0.04,13.4,19.5,25.6
1939,1,7.39,14,20,26.1
1939,2,3.39,17.6,22.9,28.2
1939,3,26.46,16.7,22.9,29
1939,4,108.9,18.6,24.4,30.2
1939,5,137.69,19.9,25.3,30.6
1939,6,256.67,22.1,27,31.9
1939,7,208.41,23,27.7,32.4
1939,8,255.63,23.1,27.7,32.2
1939,9,158.37,22.8,27.7,32.5
1939,10,147.68,22.4,26.7,30.9
1939,11,35.17,17,21.4,25.7
1939,12,38.43,12.3,19,25.6
1940,1,70.1,9.6,15.6,21.6
1940,2,74.91,12,17.7,23.4
1940,3,100.55,14.6,20.1,25.6
1940,4,41.46,16,22,28
1940,5,89.13,17.8,24,30.3
1940,6,195.96,22.7,27.2,31.8
1940,7,142.21,23.4,28.4,33.4
1940,8,225.82,23.3,28.2,33.1
1940,9,257.14,22.9,26.9,30.8
1940,10,26.18,18.8,24.2,29.6
1940,11,7.01,16.9,22.2,27.5
1940,12,101.6,16.8,22.1,27.4
1941,1,112.65,13,18.8,24.5
1941,2,115.92,11.7,17.8,23.9
1941,3,106.33,13.2,19.1,25
1941,4,148.64,18.6,23.3,28
1941,5,49.58,19.3,24.4,29.4
1941,6,212.36,22,27.6,33.2
1941,7,281.01,23.5,28.1,32.8
1941,8,92.39,24.1,29.1,34.2
1941,9,172.83,23.7,28,32.4
1941,10,111.16,22.7,27,31.3
1941,11,53.72,18.4,23.1,27.9
1941,12,28.66,17.6,22.2,26.8
1942,1,26.52,11.9,18.2,24.5
1942,2,56.82,10.9,17.2,23.5
1942,3,73,15,20.6,26.1
1942,4,148.16,16.4,22,27.7
1942,5,125.42,19.3,24.9,30.4
1942,6,348.17,22.9,27.2,31.6
1942,7,99.58,23.9,28.8,33.8
1942,8,103.69,23.1,28,33
1942,9,149.95,23,27.8,32.6
1942,10,16.22,19.7,25.1,30.5
1942,11,17.77,16.7,22.4,28
1942,12,50.21,15,20.8,26.6
1943,1,23.95,13.9,20.1,26.3
1943,2,15.28,10.4,17.6,24.7
1943,3,19.28,15.2,21.2,27.1
1943,4,98.78,16,22.1,28.2
1943,5,165.15,19.8,25.4,31
1943,6,141.75,21.3,26.7,32.1
1943,7,210.92,22,27.2,32.3
1943,8,129.02,22.3,27.8,33.2
1943,9,174.59,22.4,27.4,32.3
1943,10,65.15,18.9,24.1,29.3
1943,11,54.35,16.6,21.6,26.7
1943,12,7.16,12.7,18.8,24.9
1944,1,26.62,11.6,17.9,24.3
1944,2,0.92,14.2,21,27.8
1944,3,44.42,17,22.7,28.4
1944,4,60.92,18.3,24.3,30.2
1944,5,141.39,18.6,24.2,29.8
1944,6,97.96,21.6,27.5,33.3
1944,7,212.48,22.1,27.7,33.4
1944,8,155.18,23.5,28.2,32.9
1944,9,133.94,23.3,28,32.7
1944,10,132.79,19,24.2,29.4
1944,11,5.26,14.8,20.8,26.8
1944,12,7.45,11.9,18.1,24.4
1945,1,39.28,11.7,18.5,25.3
1945,2,9.53,14,20.3,26.7
1945,3,13.43,16.3,22.6,28.8
1945,4,49.4,18.7,24.6,30.6
1945,5,77.03,17.6,24.3,31
1945,6,146.39,21.7,27.1,32.5
1945,7,241.25,22.1,27.3,32.4
1945,8,143.83,23.2,27.8,32.4
1945,9,277.19,23.3,27.4,31.6
1945,10,100.89,21.5,25.8,30.2
1945,11,40.81,16.5,21.6,26.6
1945,12,25.06,13.2,19.1,25
1946,1,18.75,14.5,20,25.5
1946,2,29.24,15.3,20.7,26.2
1946,3,70.43,16.8,22.2,27.7
1946,4,16.86,16.8,23.5,30.1
1946,5,240.63,20.3,25.7,31.1
1946,6,183.48,22.4,27,31.5
1946,7,223.33,22.1,27.4,32.7
1946,8,134.95,22.6,27.9,33.1
1946,9,209.99,22.7,27.2,31.8
1946,10,28.99,21.1,25.8,30.5
1946,11,82.11,19.8,24.3,28.8
1946,12,53.04,17.3,22.1,27
1947,1,31.51,17.2,22.4,27.6
1947,2,45.19,9.8,16.6,23.4
1947,3,105.3,13.1,19.6,26.1
1947,4,84.08,20,25.3,30.6
1947,5,153.92,19.8,25.3,30.9
1947,6,311.51,21.9,26.6,31.3
1947,7,277.06,22.6,27.1,31.5
1947,8,174.97,23.1,27.7,32.3
1947,9,281.74,23.5,27.4,31.3
1947,10,274.89,21.8,25.7,29.5
1947,11,81,19.9,24.3,28.7
1947,12,23.01,16,21,25.9
1948,1,48.58,13.6,19.2,24.7
1948,2,3.53,15.7,21.6,27.4
1948,3,26.65,18.7,24.2,29.8
1948,4,113.09,19.1,24.3,29.5
1948,5,97.54,19.1,25.3,31.5
1948,6,92.19,21.2,27.1,33
1948,7,192.51,22.3,27.5,32.6
1948,8,137.05,22.2,27.6,32.9
1948,9,447.6,22.8,27.2,31.5
1948,10,128.07,21.1,25.2,29.2
1948,11,8.56,20.5,25.3,30
1948,12,14.03,17.2,22.6,28.1
1949,1,3.55,15.1,20.9,26.7
1949,2,11.3,16.8,22.9,28.9
1949,3,15.61,14.3,21.3,28.2
1949,4,74.85,17.8,24,30.2
1949,5,98.4,18.4,24.8,31.2
1949,6,286.12,21,26.5,32.1
1949,7,227.52,22.6,27.7,32.8
1949,8,152.74,22.9,27.8,32.7
1949,9,238.83,23.1,27.7,32.3
1949,10,96.57,21.9,26.3,30.7
1949,11,22.58,14.4,20.2,26
1949,12,98.09,16.5,21.5,26.4
1950,1,0,18,22.3,26.6
1950,2,13.59,14.5,20.6,26.7
1950,3,51.24,15,21.5,28
1950,4,93.86,14,20.7,27.3
1950,5,111.22,19.3,25.2,31.1
1950,6,94.64,21.1,27,32.8
1950,7,173.5,22,27.2,32.4
1950,8,241.25,22.3,27.4,32.6
1950,9,159.47,22.6,27.3,32.1
1950,10,247.68,21.6,26,30.4
1950,11,20.21,15,20.5,25.9
1950,12,35.16,11.1,17.7,24.2
1951,1,5.12,11.4,17.8,24.2
1951,2,32.84,12,18,24
1951,3,14.66,14.1,20.7,27.2
1951,4,106.82,16.8,22.5,28.2
1951,5,65.68,17.9,24.6,31.2
1951,6,93.77,20.6,26.7,32.9
1951,7,218.47,22.2,27.2,32.2
1951,8,188.26,23.4,28.5,33.5
1951,9,132.71,23.2,28,32.8
1951,10,186.34,21,25.8,30.5
1951,11,14.19,15.9,21.4,27
1951,12,6.16,16.4,21.8,27.1
1952,1,25.55,13.7,19.9,26.1
1952,2,95.6,12.3,19,25.7
1952,3,45.35,17,22.7,28.5
1952,4,37.62,15.4,21.5,27.6
