month,ppt,tmin,tmean,tmax
January,43.28,13.8,19.2,24.6
February,48.75,15,20.4,25.9
March,56.52,16.4,21.8,27.2
April,73.18,18.6,23.9,29.3
May,110.54,21,26,31
June,214.88,23.3,27.8,32.3
July,186.53,24.1,28.5,32.9
August,194.76,24.4,28.8,33.1
September,170.98,24.2,28.1,32.1
October,120.02,22,26.2,30.5
November,52,18.3,23,27.7
December,45.9,15.9,20.8,25.8
Annual,1317.34,19.7,24.5,29.4
