year,region,init_depth,breed_season_depth,recession,pre_recession,post_recession,dry_days,reversals
1991,1,3.992142577637,18.2391187560249,-0.0762585413329348,-0.357239015936398,0.0662401778480563,37.7452884066248,61.9486007995431
1991,3an,0.16278980588115,6.20294388049727,-0.125864523352419,-0.145962873477395,-0.122947271575077,88.6510628674808,41.3952962460425
1991,3ase,16.2699491434844,36.1359036663143,-0.340238052381983,-0.392733242604445,-0.307783137948569,4.12750455373406,79.9280510018215
1991,3b,0.957563863635737,4.5087059280817,-0.11541088360756,-0.00872978287314344,-0.166890330362102,128.938660209847,22.2062146892655
1991,3as,10.1893855061837,18.2192514867496,-0.179983135830694,-0.168061867169235,-0.185090170730815,29.336435970575,66.7422308962618
1991,2b,6.36740506561109,17.2795003714582,-0.179424958083072,-0.200517806169087,-0.152659419040218,43.3868715083799,67.0935754189944
1991,2a,12.312846370452,18.6047267623032,-0.0988804468912936,-0.201877586844614,-0.049881504570654,24.8198403648803,63.6126947928544
1991,coastalenp,5.17989261085284,11.2070821322145,-0.156671679037639,0.0206196736700095,-0.245093585304932,66.2595303446173,49.098505641964
1991,inlandenp,0.563748051386128,2.85666678990579,-0.0604693583414532,0.000778356573770251,-0.0906143449532995,140.667515673981,15.8729427899687
1992,1,30.1703788369537,15.6524348448229,0.0268735383456942,0.133948837200663,-0.0305036919879024,98.1062250142776,31.2492861222159
1992,3an,11.4666877653414,6.13133145886416,-0.155130949173269,0.0571147157598168,-0.269964995255536,195.507462686567,31.8179556761646
1992,3ase,78.3876118755514,52.7746181641786,-0.0181607429181678,0.27196092067675,-0.164464099608411,7.61384335154827,41.9663023679417
1992,3b,28.025388983972,16.2882342902175,0.0010682626087434,0.143200124171613,-0.0710615002855614,156.543583535109,40.1763518966909
1992,3as,50.6423702426115,32.1851388265084,-0.00399972597201192,0.190805873478847,-0.10282998160665,39.8428163939348,42.7087524395736
1992,2b,47.3269859399209,21.7886990756436,-0.0151347868935356,0.316646830939217,-0.184386142361319,93.2555865921788,31.7486033519553
1992,2a,13.631971886293,7.67450874608485,-0.122886467358566,0.0157390412851235,-0.195439705775595,114.980235651843,35.7780311668567
1992,coastalenp,18.5126058626698,11.5358350336706,-0.153829809621076,0.135323372545851,-0.303244915751679,121.85757853004,47.6282403171699
1992,inlandenp,6.00510429618384,3.18677178958201,-0.101604134108461,0.0502127563072877,-0.178357044822423,325.66947492163,19.0342868338558
1993,1,46.5102650867334,25.3681225692252,0.174105423303852,0.335242862551545,0.0923215436545095,110.522844089092,40.363221016562
1993,3an,22.6279213576228,40.8687290421694,-0.02502633732944,-0.58755546970457,0.246127728583423,159.213251922207,70.4936680235188
1993,3ase,97.1287167936509,106.711882267103,0.0443550708671882,-0.398157073627666,0.257273823518643,4.63387978142076,61.1639344262295
1993,3b,43.5057954026192,42.6038980514113,0.0321784788344628,-0.0339666329259342,0.0626730393170348,76.3046811945117,45.4249394673123
1993,3as,62.8005502125537,64.289975223994,0.0538278903703263,-0.138164003597309,0.147336208658677,26.6147725566732,59.0971325626783
1993,2b,67.6736720633906,58.9877889115791,0.181838080021427,-0.052002892285683,0.290033035882136,72.9930167597765,49.9720670391061
1993,2a,16.5434042141493,38.7564696149521,-0.0221765381456055,-0.785674789045336,0.331263359511562,111.7582668187,69.8806537438236
1993,coastalenp,24.0835248993169,28.6658717961745,-0.0718050128242218,-0.0507747567452413,-0.0870405183443636,95.549252820982,62.9414455626715
1993,inlandenp,8.31393699293013,14.2126993102919,-0.0596240198363388,-0.105090622170329,-0.0389836390187444,364.731681034483,37.3979231974922
1994,1,32.0210108035364,22.7742359104976,0.0942346436751108,0.0119107191427289,0.130455329716376,108.095659623073,51.456881781839
1994,3an,15.8796663599174,18.0286965494258,-0.0360133377342419,-0.232473848383619,0.0531915227302541,100.358887381275,59.9231117141565
1994,3ase,83.6873370033361,80.5429408658832,0.0139229977658938,-0.242464393206962,0.134921058742799,3.48633879781421,69.075591985428
1994,3b,34.1959303916703,30.1006836963784,0.0523776099107375,-0.00470957936925018,0.0804127859177691,27.1908797417272,44.2203389830508
1994,3as,55.3270998412005,48.7364108315361,0.0557130157110349,-0.0866052509974138,0.122513939437939,10.4021918630836,56.8594805584747
1994,2b,55.927625730717,63.6746575823783,-0.0812538515810462,-0.363867331460546,0.0489785748487078,45.7067039106145,74.5097765363129
1994,2a,15.4430722302241,24.1354104152608,-0.0780632503570085,-0.282940381007525,0.00791337397348348,76.1706575446598,64.1691372101862
1994,coastalenp,24.4285406930013,16.9886157014588,0.0309216587323661,0.0211778084831947,0.0313410904505782,68.7575480329369,55.0545898139677
1994,inlandenp,10.0016441430815,7.79790998748007,0.00493163218621049,-0.00604605613746101,0.00803622733879457,322.020670062696,29.8956700626959
1995,1,54.7214346928708,29.1267840677549,0.163743576805809,0.278616580885382,0.106756903551974,76.6741861793261,44.5239862935465
1995,3an,97.6411327291322,42.3280124731786,0.362934929091,0.730617829290108,0.181343531511532,46.2725011307101,40.9457259158752
1995,3ase,169.014674077268,107.798311061662,0.40566950703891,0.74341983051203,0.239479932339175,0,41.6502732240437
1995,3b,76.4818931930579,50.9325891559749,0.0956848871209054,0.352631935424754,-0.0313501221536468,2.86400322841001,40.682808716707
1995,3as,124.609772060677,74.1474640796031,0.372912491362171,0.587422868219051,0.265708655721163,0.548866536556073,36.6143221738478
1995,2b,106.065551054544,74.9450337557375,0.203835849863756,0.464713412427967,0.0794193401017003,0.0307262569832402,58.4888268156425
