group_id,year,colony,latitude,longitude,wca,greg,whib,wost,anhi,gbhe,trhe,bcnh,sneg,lbhe,rosp,ycnh,glib,ceeg,dcco,grhe,smhe,lgwh,lgdk,notes
253,2014,1,25.777927,-80.745634,3a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
761,1995,1,25.8245,-80.500167,,0,0,0,,1,0,0,0,0,,,0,0,,,,,,
261,1997,1,25.786,-80.752,,0,0,0,1,1,0,0,0,0,,,0,0,,,,,,
175,1997,1,25.77175,-80.691817,,0,0,0,5,3,0,0,0,0,,,0,0,,,,,,6
2561,2002,1,25.987583,-80.707033,,5,0,0,3,0,6,2,0,2,0,,0,0,,,,,,
2552,2002,1,26.35,-80.400333,1,65,0,0,0,0,0,0,0,0,0,,0,0,,,,,,
1292,2008,1,25.89407,-80.69519,3,3,0,0,,0,0,0,0,0,,,0,0,,,,,,
248,2014,2,25.782185,-80.745536,3a,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,2014,2,25.764873,-80.695265,3a,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
760,1995,2,25.818833,-80.500667,,0,0,0,,1,0,0,0,0,,,0,0,,,,,,
376,1997,2,25.788333,-80.743333,,0,0,0,,1,0,0,0,0,,,0,0,,,,,,
2402,2002,2,26.136433,-80.773133,,0,0,0,0,0,23,0,0,0,0,,0,0,,,,,,
2553,2002,2,26.350667,-80.406833,1,32,0,0,0,0,0,0,0,0,0,,0,0,,,,,,
1507,2008,2,25.92444,-80.69337,3,0,0,0,1,0,0,0,0,0,,,0,0,,,,,,
3467,2013,2,25.807817,-80.678933,3,0,0,0,0,1,1,0,0,0,0,,0,,,,0,0,,
629,2013,2,25.812383,-80.676433,3,0,0,0,12,1,0,0,0,0,0,,0,,,,0,0,,
245,2014,3,25.780288,-80.741189,3a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3614,2014,3,25.765423,-80.78565,3a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
768,1995,3,25.833167,-80.503167,,0,0,0,,1,0,0,0,0,,,0,0,,,,,,
668,1997,3,25.816817,-80.772667,,0,0,0,7,0,0,0,0,0,,,0,0,,,,,,14
544,1997,3,25.805,-80.745,,0,0,0,,1,0,0,0,0,,,0,0,,,,,,
2401,2002,3,26.135883,-80.7825,,1,0,0,0,0,5,0,0,20,0,,0,0,,,,,,
2554,2002,3,26.356,-80.395,1,85,0,0,0,0,0,0,0,0,0,,0,0,,,,,,
1545,2008,3,25.92944,-80.69384,3,2,0,0,,0,1,0,0,0,,,0,0,,,,,,
247,2014,4,25.779342,-80.742161,3a,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
172,2014,4,25.777552,-80.694086,3a,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
