"name","class","min","max","description"
group_id,integer,56,3769,"unique location id (see colonies table)"
year,integer,1993,2023,"year"
colony,character,10,zulu,"see colonies table"
colony_old,character,,ZULU,"observer colony name (see colonies table)"
latitude,numeric,25.108333,26.678333,"reported colony latitude"
longitude,numeric,-81.186331,-80.222333,"reported colony longitude"
species,character,anhi,ycnh,"see species list"
count,integer,1,56402,"number of nesting pairs"
notes,character,,PREVIOUSLY DONE AS 877 (15 BCNH/5 NESTS),"observer comments"
