"year","ibis_interval","stork_interval"
1931,1,1
1932,1,2
1933,2,3
1934,1,1
1935,1,1
1936,1,1
1937,2,1
1938,3,1
1940,4,2
1941,1,3
1942,2,4
1943,3,1
1944,4,2
1946,5,1
1950,6,1
1952,7,1
1957,8,2
1958,9,3
1959,10,1
1960,11,2
1961,12,1
1962,13,1
1963,14,2
1964,15,1
1965,16,1
1967,17,1
1968,18,1
1969,19,2
1970,20,3
1971,21,4
1972,22,5
1973,1,6
1974,2,7
1975,3,8
1976,4,9
1977,5,10
1978,6,11
1979,7,12
1980,8,13
1981,9,14
1982,10,15
1983,11,16
1984,12,17
1985,13,18
1986,14,19
1987,15,20
1988,16,21
1989,17,22
1990,18,23
1991,19,24
1992,20,25
1993,21,26
1994,22,27
1995,23,28
1996,24,29
1997,25,30
1998,26,31
1999,27,32
2000,28,33
2001,1,1
2002,1,1
2003,1,1
2004,2,1
2005,1,2
2006,1,3
2007,1,4
2008,2,4
2009,1,
2010,1,
2011,2,
2012,3,
2013,1,
2014,1,
2015,1,
2016,2,
2017,2,
2018,1,
2019,1,
2020,1,
2021,1,
2022,2,
2023,1,
2024,2,
